Linux 6.8.0-51-generic (abhijeet-Vivobook) 	09/10/2025 	_x86_64_	(16 CPU)

11:52:14 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
11:52:15 PM  all   27.95    0.00    1.58    0.00    0.00    0.06    0.00    0.00    0.00   70.41
11:52:16 PM  all   26.49    0.00    1.07    0.00    0.00    0.00    0.00    0.00    0.00   72.44
11:52:17 PM  all   26.16    0.00    0.63    0.13    0.00    0.00    0.00    0.00    0.00   73.09
11:52:18 PM  all   25.61    0.00    0.50    0.00    0.00    0.00    0.00    0.00    0.00   73.89
11:52:19 PM  all   26.00    0.00    0.44    0.00    0.00    0.00    0.00    0.00    0.00   73.56
11:52:20 PM  all   25.83    0.00    0.25    0.00    0.00    0.00    0.00    0.00    0.00   73.92
11:52:21 PM  all   25.83    0.00    0.50    0.00    0.00    0.00    0.00    0.00    0.00   73.67
11:52:22 PM  all   25.86    0.00    0.38    0.00    0.00    0.06    0.00    0.00    0.00   73.70
11:52:23 PM  all   29.42    0.00    0.38    0.00    0.00    0.00    0.00    0.00    0.00   70.20
11:52:24 PM  all   27.68    0.00    0.44    0.00    0.00    0.00    0.00    0.00    0.00   71.88
