Linux 6.8.0-51-generic (abhijeet-Vivobook) 	09/10/2025 	_x86_64_	(16 CPU)

11:54:07 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
11:54:08 PM  all    8.29    0.00    8.86    0.57    0.00    0.19    0.00    0.00    0.00   82.10
11:54:09 PM  all    8.99    0.00    9.69    0.38    0.00    0.19    0.00    0.00    0.00   80.75
11:54:10 PM  all    9.15    0.00    9.09    0.38    0.00    0.19    0.00    0.00    0.00   81.18
11:54:11 PM  all    8.91    0.00    9.73    0.32    0.00    0.13    0.00    0.00    0.00   80.92
11:54:12 PM  all    7.48    0.00    9.58    0.51    0.00    0.13    0.00    0.00    0.00   82.31
11:54:13 PM  all   11.62    0.00    9.76    3.53    0.00    0.13    0.00    0.00    0.00   74.95
11:54:14 PM  all    5.87    0.00    7.82   29.20    0.00    0.52    0.00    0.00    0.00   56.58
11:54:15 PM  all    5.12    0.00    7.55   29.74    0.00    0.33    0.00    0.00    0.00   57.26
11:54:16 PM  all    3.48    0.00    6.16   29.90    0.00    0.33    0.00    0.00    0.00   60.13
11:54:17 PM  all    3.98    0.00    7.50   29.99    0.00    0.26    0.00    0.00    0.00   58.28
11:54:18 PM  all    3.61    0.00    6.23   30.10    0.00    0.13    0.00    0.00    0.00   59.93
11:54:19 PM  all    4.16    0.00    7.02   29.58    0.00    0.46    0.00    0.00    0.00   58.78
11:54:20 PM  all    3.26    0.00    6.32   29.47    0.00    0.26    0.00    0.00    0.00   60.69
11:54:21 PM  all    2.60    0.00    6.63   29.71    0.00    0.20    0.00    0.00    0.00   60.86
11:54:22 PM  all    2.79    0.00    6.29   29.44    0.00    0.26    0.00    0.00    0.00   61.22
11:54:23 PM  all    2.87    0.00    5.74   27.09    0.00    0.26    0.00    0.00    0.00   64.03
