Linux 6.8.0-51-generic (abhijeet-Vivobook) 	09/10/2025 	_x86_64_	(16 CPU)

11:52:54 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
11:52:55 PM  all   14.94    0.00    0.82    0.00    0.00    0.00    0.00    0.00    0.00   84.24
11:52:56 PM  all   14.35    0.00    1.07    0.00    0.00    0.13    0.00    0.00    0.00   84.46
11:52:57 PM  all   13.98    0.00    0.94    0.00    0.00    0.00    0.00    0.00    0.00   85.08
11:52:58 PM  all   13.86    0.00    1.13    0.13    0.00    0.06    0.00    0.00    0.00   84.82
11:52:59 PM  all   14.99    0.00    2.51    0.00    0.00    0.00    0.00    0.00    0.00   82.50
11:53:00 PM  all   13.67    0.00    0.44    0.00    0.00    0.00    0.00    0.00    0.00   85.89
11:53:01 PM  all   13.66    0.00    0.57    0.13    0.00    0.00    0.00    0.00    0.00   85.65
11:53:02 PM  all   13.59    0.00    0.56    0.00    0.00    0.06    0.00    0.00    0.00   85.79
11:53:03 PM  all   14.95    0.00    0.75    0.06    0.00    0.00    0.00    0.00    0.00   84.23
11:53:04 PM  all   14.39    0.00    0.81    0.00    0.00    0.06    0.00    0.00    0.00   84.73
