Linux 6.8.0-51-generic (abhijeet-Vivobook) 	09/10/2025 	_x86_64_	(16 CPU)

11:52:34 PM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
11:52:35 PM     0       195    0.00    2.91    0.00    0.00    2.91     7  irq/35-ACPI:Event
11:52:35 PM     0       284    0.00    0.97    0.00    0.00    0.97     9  irq/40-ELAN1200:00
11:52:35 PM     0      1242    0.97    1.94    0.00    0.97    2.91     9  Xorg
11:52:35 PM  1000      1501    0.00    0.97    0.00    0.00    0.97     3  pipewire-pulse
11:52:35 PM  1000      1908    6.80    0.97    0.00    8.74    7.77     9  cinnamon
11:52:35 PM  1000      2263    6.80    3.88    0.00    2.91   10.68     9  firefox-bin
11:52:35 PM  1000      2836    0.97    0.00    0.00    0.00    0.97     2  Isolated Web Co
11:52:35 PM  1000      2963    1.94    0.00    0.00    0.97    1.94    13  Isolated Web Co
11:52:35 PM  1000      3003    0.97    0.00    0.00    0.97    0.97     0  Isolated Web Co
11:52:35 PM  1000      4439    0.97    0.00    0.00    0.00    0.97     6  Isolated Web Co
11:52:35 PM  1000      4605    0.97    0.00    0.00    0.97    0.97    12  Isolated Web Co
11:52:35 PM  1000     49179    3.88    1.94    0.00    4.85    5.83     2  code
11:52:35 PM  1000     49237    7.77    0.97    0.00    6.80    8.74     6  code
11:52:35 PM  1000     49279    0.00    0.97    0.00    0.97    0.97     5  code
11:52:35 PM  1000     49295    0.97    0.00    0.00    0.97    0.97     3  code
11:52:35 PM  1000     49323    0.97    0.00    0.00    0.97    0.97    13  code
11:52:35 PM  1000     49758    9.71    0.97    0.00    8.74   10.68    13  Isolated Web Co
11:52:35 PM     0     53138    0.00    0.97    0.00    0.00    0.97     9  kworker/u32:2+events_unbound
11:52:35 PM  1000     57115    0.97    0.97    0.00    1.94    1.94    12  pidstat
11:52:35 PM  1000     57116 1563.11    0.97    0.00    0.00 1564.08     1  sysbench
11:52:35 PM  1000     57136    0.00    1.94    0.00    1.94    1.94     1  ps

11:52:34 PM   UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
11:52:35 PM  1000      1908      3.88      0.00 5279180  262100   1.66  cinnamon
11:52:35 PM  1000      2263    102.91      0.00 12395592  741056   4.70  firefox-bin
11:52:35 PM  1000      2570     18.45      0.00 7944368  991676   6.29  Isolated Web Co
11:52:35 PM  1000      2839      9.71      0.00 2460064   78008   0.50  Isolated Servic
11:52:35 PM  1000      2963      0.97      0.00 11694672  768176   4.88  Isolated Web Co
11:52:35 PM  1000      3003      2.91      0.00 2799964  312788   1.99  Isolated Web Co
11:52:35 PM  1000      4536      8.74      0.00 2674496  196692   1.25  Isolated Web Co
11:52:35 PM  1000      4589     73.79      0.00 2907064  302948   1.92  Isolated Web Co
11:52:35 PM  1000      4605     30.10      0.00 2529552  126628   0.80  Isolated Web Co
11:52:35 PM  1000      4650      2.91      0.00 2570404  149464   0.95  Isolated Web Co
11:52:35 PM  1000      4764      5.83      0.00 2568988  146176   0.93  Isolated Web Co
11:52:35 PM  1000     35050     87.38      0.00 34734236  274280   1.74  chrome
11:52:35 PM  1000     35051     12.62      0.00 34064912  131296   0.83  chrome
11:52:35 PM  1000     49115      5.83      0.00 1461534896  191268   1.21  code
11:52:35 PM  1000     49179    406.80      0.00 34581108  178828   1.13  code
11:52:35 PM  1000     49237    237.86      0.00 1480185088  388832   2.47  code
11:52:35 PM  1000     49279    238.83      0.00 1461308524  115524   0.73  code
11:52:35 PM  1000     49295     13.59      0.00 1461300524  156300   0.99  code
11:52:35 PM  1000     49322     17.48      0.00 1461299592  113148   0.72  code
11:52:35 PM  1000     49323      0.97      0.00 1461316600  106864   0.68  code
11:52:35 PM  1000     49758    537.86      0.00 3262756  545872   3.46  Isolated Web Co
11:52:35 PM  1000     57115      2.91      0.00   17356    5632   0.04  pidstat
11:52:35 PM  1000     57116      0.97      0.00   34212    9856   0.06  sysbench
11:52:35 PM  1000     57135    113.59      0.00    2800    1536   0.01  sh
11:52:35 PM  1000     57136    434.95      0.00   19284    4480   0.03  ps

11:52:34 PM   UID       PID   cswch/s nvcswch/s  Command
11:52:35 PM     0        17    266.99      0.00  rcu_preempt
11:52:35 PM     0        24      2.91      0.00  ksoftirqd/2
11:52:35 PM     0        60      1.94      0.97  ksoftirqd/14
11:52:35 PM     0        72      0.97      0.00  ksoftirqd/3
11:52:35 PM     0        78      0.97      0.00  ksoftirqd/5
11:52:35 PM     0       119      1.94      0.00  kcompactd0
11:52:35 PM     0       150      1.94      0.00  kworker/7:1-events
11:52:35 PM     0       153      2.91      0.00  kworker/11:1-mld
11:52:35 PM     0       195     93.20      0.00  irq/35-ACPI:Event
11:52:35 PM     0       284    184.47      0.00  irq/40-ELAN1200:00
11:52:35 PM   110       774     41.75      8.74  avahi-daemon
11:52:35 PM     0       822     92.23      0.00  touchegg
11:52:35 PM     0       884    151.46      0.00  irq/84-rtw89_pci
11:52:35 PM     0       914     20.39      1.94  NetworkManager
11:52:35 PM     0      1242    859.22     49.51  Xorg
11:52:35 PM  1000      1501    217.48      0.97  pipewire-pulse
11:52:35 PM  1000      1750      1.94      2.91  csd-keyboard
11:52:35 PM  1000      1782      1.94      0.00  dbus-daemon
11:52:35 PM  1000      1839      5.83      0.00  at-spi2-registr
11:52:35 PM  1000      1908    289.32    209.71  cinnamon
11:52:35 PM  1000      2104     10.68      0.00  blueman-tray
11:52:35 PM  1000      2263    110.68     37.86  firefox-bin
11:52:35 PM  1000      2352      0.97      0.00  Socket Process
11:52:35 PM  1000      2402    144.66      0.00  Privileged Cont
11:52:35 PM  1000      2470      7.77      4.85  WebExtensions
11:52:35 PM  1000      2570      9.71      1.94  Isolated Web Co
11:52:35 PM  1000      2836      2.91      0.00  Isolated Web Co
11:52:35 PM  1000      2839     44.66      0.00  Isolated Servic
11:52:35 PM  1000      2963    151.46      6.80  Isolated Web Co
11:52:35 PM  1000      3003      7.77      1.94  Isolated Web Co
11:52:35 PM  1000      4259      0.97      0.00  Isolated Web Co
11:52:35 PM  1000      4311      0.97      0.97  Isolated Web Co
11:52:35 PM  1000      4436      0.97      0.00  Isolated Web Co
11:52:35 PM  1000      4439      0.97      0.00  Isolated Web Co
11:52:35 PM  1000      4446      0.97      0.00  Isolated Web Co
11:52:35 PM  1000      4536      3.88      3.88  Isolated Web Co
11:52:35 PM  1000      4589      3.88      3.88  Isolated Web Co
11:52:35 PM  1000      4605      3.88      5.83  Isolated Web Co
11:52:35 PM  1000      4626      0.97      0.00  Isolated Web Co
11:52:35 PM  1000      4637      0.97      0.00  Isolated Web Co
11:52:35 PM  1000      4650      0.97      0.00  Isolated Web Co
11:52:35 PM  1000      4764      0.97      0.97  Isolated Web Co
11:52:35 PM  1000      4803      0.97      0.00  Isolated Web Co
11:52:35 PM  1000      4809      0.97      0.00  Isolated Web Co
11:52:35 PM  1000      4869      0.97      0.00  Isolated Web Co
11:52:35 PM  1000      4904      0.97      0.00  Isolated Web Co
11:52:35 PM  1000      4907      0.97      0.00  Isolated Web Co
11:52:35 PM  1000      4914      0.97      0.00  Isolated Web Co
11:52:35 PM  1000      5011      0.97      0.00  Isolated Web Co
11:52:35 PM  1000      5014      0.97      0.00  Isolated Web Co
11:52:35 PM  1000      5020      0.97      0.00  Isolated Web Co
11:52:35 PM  1000      5113      0.97      0.00  Isolated Web Co
11:52:35 PM  1000      5165      0.97      0.00  Isolated Web Co
11:52:35 PM  1000      5180      0.97      0.00  Isolated Web Co
11:52:35 PM  1000      5220      0.97      0.97  Isolated Web Co
11:52:35 PM  1000      5273      0.97      0.00  Isolated Web Co
11:52:35 PM  1000      5469      0.97      0.00  Isolated Web Co
11:52:35 PM  1000      5546      0.97      0.00  Isolated Web Co
11:52:35 PM  1000      5549      0.97      0.00  Isolated Web Co
11:52:35 PM  1000      5646      0.97      0.00  Isolated Web Co
11:52:35 PM  1000      5704      0.97      0.00  Isolated Web Co
11:52:35 PM     0     22875      2.91      0.00  kworker/5:1-events
11:52:35 PM     0     27141      0.97      0.00  kworker/12:0-mm_percpu_wq
11:52:35 PM     0     30134      0.97      0.00  kworker/6:0-mm_percpu_wq
11:52:35 PM  1000     32073      0.97      0.00  Isolated Web Co
