Linux 6.8.0-51-generic (abhijeet-Vivobook) 	09/10/2025 	_x86_64_	(16 CPU)

11:51:54 PM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
11:51:55 PM   110       774    0.96    0.00    0.00    0.00    0.96     0  avahi-daemon
11:51:55 PM     0       884    0.00    0.96    0.00    0.00    0.96    11  irq/84-rtw89_pci
11:51:55 PM  1000      1501    0.00    0.96    0.00    0.00    0.96     4  pipewire-pulse
11:51:55 PM  1000      1908    0.96    0.00    0.00    0.00    0.96     8  cinnamon
11:51:55 PM  1000      2263    3.85    4.81    0.00    0.00    8.65     8  firefox-bin
11:51:55 PM  1000      2402    0.00    0.96    0.00    0.00    0.96     0  Privileged Cont
11:51:55 PM  1000      2839    0.00    0.96    0.00    0.00    0.96     1  Isolated Servic
11:51:55 PM  1000      2963    4.81    0.96    0.00    0.00    5.77     3  Isolated Web Co
11:51:55 PM  1000      3003    1.92    0.96    0.00    0.00    2.88    14  Isolated Web Co
11:51:55 PM  1000      4803    0.96    0.00    0.00    0.00    0.96     4  Isolated Web Co
11:51:55 PM  1000      5469    0.96    0.00    0.00    0.00    0.96    12  Isolated Web Co
11:51:55 PM  1000      5646    0.96    1.92    0.00    0.00    2.88    12  Isolated Web Co
11:51:55 PM  1000     35005    1.92    1.92    0.00    0.00    3.85    15  chrome
11:51:55 PM  1000     35182    3.85    0.96    0.00    0.00    4.81    15  chrome
11:51:55 PM     0     48072    0.00    0.96    0.00    0.00    0.96     9  kworker/u32:3-gfx_low
11:51:55 PM  1000     49179    0.96    0.00    0.00    0.00    0.96     8  code
11:51:55 PM  1000     49237    1.92    0.96    0.00    0.00    2.88    15  code
11:51:55 PM  1000     49295    0.96    0.00    0.00    0.00    0.96    12  code
11:51:55 PM  1000     49323    0.96    0.00    0.00    0.00    0.96     8  code
11:51:55 PM  1000     49758    0.96    0.00    0.00    0.00    0.96    12  Isolated Web Co
11:51:55 PM  1000     56900    0.00    3.85    0.00    0.00    3.85     1  pidstat
11:51:55 PM  1000     56901  100.00    0.00    0.00    0.00  100.00     2  sysbench

11:51:54 PM   UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
11:51:55 PM  1000      2263      0.00      0.00 12395608  741296   4.70  firefox-bin
11:51:55 PM  1000      2470      1.92      0.00 2501060  132832   0.84  WebExtensions
11:51:55 PM  1000      2570      0.96      0.00 7944352  994108   6.31  Isolated Web Co
11:51:55 PM  1000      2839      7.69      0.00 2460080   77880   0.49  Isolated Servic
11:51:55 PM  1000      3003    545.19      0.00 2799964  314660   2.00  Isolated Web Co
11:51:55 PM  1000      4311      1.92      0.00 2481072  108280   0.69  Isolated Web Co
11:51:55 PM  1000      4436      0.96      0.00 2485164  110424   0.70  Isolated Web Co
11:51:55 PM  1000      4446      0.96      0.00 2481044  109232   0.69  Isolated Web Co
11:51:55 PM  1000      4536      0.96      0.00 2674496  196604   1.25  Isolated Web Co
11:51:55 PM  1000      4589     26.92      0.00 2907080  302576   1.92  Isolated Web Co
11:51:55 PM  1000      4605      0.96      0.00 2529568  126820   0.80  Isolated Web Co
11:51:55 PM  1000      4637      0.96      0.00 2547604  138452   0.88  Isolated Web Co
11:51:55 PM  1000      4803      3.85      0.00 2511112  122452   0.78  Isolated Web Co
11:51:55 PM  1000      4914      0.96      0.00 2523004  138904   0.88  Isolated Web Co
11:51:55 PM  1000      5011      1.92      0.00 2500024  117220   0.74  Isolated Web Co
11:51:55 PM  1000      5165      0.96      0.00 2487708  113680   0.72  Isolated Web Co
11:51:55 PM  1000      5180      0.96      0.00 2498740  119556   0.76  Isolated Web Co
11:51:55 PM  1000      5220      0.96      0.00 2482328  109128   0.69  Isolated Web Co
11:51:55 PM  1000      5469      0.96      0.00 2549160  142936   0.91  Isolated Web Co
11:51:55 PM  1000      5646     42.31      0.00 2513048  124144   0.79  Isolated Web Co
11:51:55 PM  1000      5704      0.96      0.00 2481304  110856   0.70  Isolated Web Co
11:51:55 PM  1000     32126      0.00      0.00 2463144  109108   0.69  Isolated Web Co
11:51:55 PM  1000     35005   2142.31      0.00 34324576  367292   2.33  chrome
11:51:55 PM  1000     35050     87.50      0.00 34734236  274152   1.74  chrome
11:51:55 PM  1000     35051     13.46      0.00 34064912  131260   0.83  chrome
11:51:55 PM  1000     35182   1006.73      0.00 1285630640  146108   0.93  chrome
11:51:55 PM  1000     49115      3.85      0.00 1461531824  191020   1.21  code
11:51:55 PM  1000     49179      0.96      0.00 34577268  178608   1.13  code
11:51:55 PM  1000     49237     94.23      0.00 1480184320  388072   2.46  code
11:51:55 PM  1000     49279     23.08      0.00 1461308524  116244   0.74  code
11:51:55 PM  1000     49295     25.96      0.00 1461300524  156304   0.99  code
11:51:55 PM  1000     49322      5.77      0.00 1461299592  113156   0.72  code
11:51:55 PM  1000     49323     33.65      0.00 1461316600  106736   0.68  code
11:51:55 PM  1000     56900      2.88      0.00   17356    5632   0.04  pidstat
11:51:55 PM  1000     56901     82.69      0.00   33192    9728   0.06  sysbench

11:51:54 PM   UID       PID   cswch/s nvcswch/s  Command
11:51:55 PM     0        17     79.81      0.00  rcu_preempt
11:51:55 PM     0        18      3.85      0.00  migration/0
11:51:55 PM     0        23      7.69      0.00  migration/2
11:51:55 PM     0        24      0.96      0.00  ksoftirqd/2
11:51:55 PM     0        29     12.50      0.00  migration/4
11:51:55 PM     0        30      0.96      0.00  ksoftirqd/4
11:51:55 PM     0        35      8.65      0.00  migration/6
11:51:55 PM     0        36      0.96      0.00  ksoftirqd/6
11:51:55 PM     0        41     14.42      0.00  migration/8
11:51:55 PM     0        47     10.58      0.00  migration/10
11:51:55 PM     0        53      4.81      0.00  migration/12
11:51:55 PM     0        59      6.73      0.00  migration/14
11:51:55 PM     0        83      0.96      0.00  migration/7
11:51:55 PM     0        89      1.92      0.00  migration/9
11:51:55 PM     0        95      3.85      0.00  migration/11
11:51:55 PM     0       101      0.96      0.00  migration/13
11:51:55 PM     0       119      1.92      0.00  kcompactd0
11:51:55 PM     0       153      2.88      0.96  kworker/11:1-mld
11:51:55 PM     0       283      0.96      0.00  kworker/3:1H-kblockd
11:51:55 PM   110       774     18.27      0.96  avahi-daemon
11:51:55 PM     0       822      1.92      0.00  touchegg
11:51:55 PM     0       884     75.96      0.00  irq/84-rtw89_pci
11:51:55 PM     0       914     24.04      0.96  NetworkManager
11:51:55 PM     0      1242     61.54      1.92  Xorg
11:51:55 PM  1000      1501    189.42     12.50  pipewire-pulse
11:51:55 PM  1000      1908     22.12      0.96  cinnamon
11:51:55 PM  1000      2104     10.58      0.00  blueman-tray
11:51:55 PM  1000      2263     35.58      0.00  firefox-bin
11:51:55 PM  1000      2352      0.96      0.00  Socket Process
11:51:55 PM  1000      2402     72.12      3.85  Privileged Cont
11:51:55 PM  1000      2470      7.69      0.00  WebExtensions
11:51:55 PM  1000      2570      5.77      0.00  Isolated Web Co
11:51:55 PM  1000      2836      2.88      0.00  Isolated Web Co
11:51:55 PM  1000      2839     20.19      0.00  Isolated Servic
11:51:55 PM  1000      2963    149.04      4.81  Isolated Web Co
11:51:55 PM  1000      3003     11.54      0.00  Isolated Web Co
11:51:55 PM  1000      4259      1.92      0.00  Isolated Web Co
11:51:55 PM  1000      4311      0.96      0.00  Isolated Web Co
11:51:55 PM  1000      4436      0.96      0.00  Isolated Web Co
11:51:55 PM  1000      4439      1.92      0.00  Isolated Web Co
11:51:55 PM  1000      4446      0.96      0.00  Isolated Web Co
11:51:55 PM  1000      4536      1.92      0.00  Isolated Web Co
11:51:55 PM  1000      4589      1.92      0.00  Isolated Web Co
11:51:55 PM  1000      4605      4.81      0.00  Isolated Web Co
11:51:55 PM  1000      4626      0.96      0.00  Isolated Web Co
11:51:55 PM  1000      4637      1.92      0.00  Isolated Web Co
11:51:55 PM  1000      4650      5.77      0.00  Isolated Web Co
11:51:55 PM  1000      4764      0.96      0.00  Isolated Web Co
11:51:55 PM  1000      4803      0.96      0.00  Isolated Web Co
11:51:55 PM  1000      4809      0.96      0.00  Isolated Web Co
11:51:55 PM  1000      4869      0.96      0.00  Isolated Web Co
11:51:55 PM  1000      4904      0.96      0.00  Isolated Web Co
11:51:55 PM  1000      4907      0.96      0.00  Isolated Web Co
11:51:55 PM  1000      4914      0.96      0.00  Isolated Web Co
11:51:55 PM  1000      5011      0.96      0.00  Isolated Web Co
11:51:55 PM  1000      5014      0.96      0.00  Isolated Web Co
11:51:55 PM  1000      5113      2.88      0.00  Isolated Web Co
11:51:55 PM  1000      5165      0.96      0.00  Isolated Web Co
11:51:55 PM  1000      5180      0.96      0.00  Isolated Web Co
11:51:55 PM  1000      5220      0.96      0.00  Isolated Web Co
11:51:55 PM  1000      5273      0.96      0.00  Isolated Web Co
11:51:55 PM  1000      5469      7.69      0.00  Isolated Web Co
11:51:55 PM  1000      5546      0.96      0.00  Isolated Web Co
11:51:55 PM  1000      5549      0.96      0.00  Isolated Web Co
11:51:55 PM  1000      5646      1.92      0.96  Isolated Web Co
11:51:55 PM  1000      5704      0.96      0.00  Isolated Web Co
11:51:55 PM     0     22875      2.88      0.00  kworker/5:1-events
11:51:55 PM     0     27141      1.92      0.00  kworker/12:0-events
11:51:55 PM     0     30134      0.96      0.00  kworker/6:0-mm_percpu_wq
11:51:55 PM  1000     32073      0.96      0.00  Isolated Web Co
11:51:55 PM  1000     32126      3.85      0.00  Isolated Web Co
11:51:55 PM  1000     32169      0.96      0.00  Isolated Web Co
11:51:55 PM  1000     35005     12.50      1.92  chrome
11:51:55 PM  1000     35050      0.96      0.00  chrome
11:51:55 PM  1000     35051      0.96      0.00  chrome
11:51:55 PM  1000     35280      0.96      0.00  chrome
11:51:55 PM     0     39852      1.92      0.00  kworker/3:1-events_freezable
11:51:55 PM     0     43987      0.96      0.00  kworker/13:0-mm_percpu_wq
11:51:55 PM     0     44016      0.96      0.00  kworker/9:4-mm_percpu_wq
11:51:55 PM     0     44114      0.96      0.00  kworker/14:3-mm_percpu_wq
11:51:55 PM     0     45130      0.96      0.00  kworker/2:5-mm_percpu_wq
11:51:55 PM     0     45146      1.92      0.00  kworker/8:2-events
