Linux 6.8.0-51-generic (abhijeet-Vivobook) 	09/10/2025 	_x86_64_	(16 CPU)

11:52:04 PM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
11:52:05 PM  1000      1497    0.00    0.98    0.00    0.00    0.98    12  pipewire
11:52:05 PM  1000      1501    0.00    0.98    0.00    0.00    0.98    12  pipewire-pulse
11:52:05 PM  1000      1908    0.98    0.00    0.00    0.00    0.98    12  cinnamon
11:52:05 PM  1000      2263    1.96    1.96    0.00    0.00    3.92    10  firefox-bin
11:52:05 PM  1000      2402    0.98    0.00    0.00    0.00    0.98    12  Privileged Cont
11:52:05 PM  1000      2570    0.98    0.00    0.00    0.00    0.98    14  Isolated Web Co
11:52:05 PM  1000      2963    2.94    0.00    0.00    0.00    2.94     8  Isolated Web Co
11:52:05 PM  1000      3003    0.98    0.00    0.00    0.00    0.98    14  Isolated Web Co
11:52:05 PM  1000      4536    0.98    0.00    0.00    0.00    0.98     7  Isolated Web Co
11:52:05 PM  1000      4626    0.98    0.00    0.00    0.00    0.98     9  Isolated Web Co
11:52:05 PM     0     48072    0.00    0.98    0.00    0.00    0.98     9  kworker/u32:3-gfx_low
11:52:05 PM  1000     49179    0.98    0.98    0.00    0.00    1.96    10  code
11:52:05 PM  1000     49237    1.96    0.98    0.00    0.00    2.94     8  code
11:52:05 PM  1000     49323    0.00    0.98    0.00    0.00    0.98    12  code
11:52:05 PM  1000     49758    0.98    0.00    0.00    0.00    0.98     4  Isolated Web Co
11:52:05 PM     0     53138    0.00    0.98    0.00    0.00    0.98    12  kworker/u32:2-events_unbound
11:52:05 PM  1000     56952    0.00    0.98    0.00    0.00    0.98     3  pidstat
11:52:05 PM  1000     56953  199.02    0.00    0.00    0.00  199.02     4  sysbench

11:52:04 PM   UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
11:52:05 PM  1000      1908      0.98      0.00 5279180  262240   1.66  cinnamon
11:52:05 PM  1000      2263      2.94      0.00 12395624  739264   4.69  firefox-bin
11:52:05 PM  1000      2470      0.98      0.00 2501044  133088   0.84  WebExtensions
11:52:05 PM  1000      2836      0.98      0.00 2492292  110280   0.70  Isolated Web Co
11:52:05 PM  1000      2839      9.80      0.00 2460080   78008   0.50  Isolated Servic
11:52:05 PM  1000      2963      0.98      0.00 11694688  764984   4.86  Isolated Web Co
11:52:05 PM  1000      3003      5.88      0.00 2799980  313036   1.99  Isolated Web Co
11:52:05 PM  1000      4536      1.96      0.00 2674512  196608   1.25  Isolated Web Co
11:52:05 PM  1000      4626      3.92      0.00 2539960  136592   0.87  Isolated Web Co
11:52:05 PM  1000      4650      0.98      0.00 2570420  149208   0.95  Isolated Web Co
11:52:05 PM  1000      4904      0.98      0.00 2501044  116196   0.74  Isolated Web Co
11:52:05 PM  1000      5014      2.94      0.00 2520504  129680   0.82  Isolated Web Co
11:52:05 PM  1000      5273      0.98      0.00 2529716  133364   0.85  Isolated Web Co
11:52:05 PM  1000      5469      0.98      0.00 2549176  142792   0.91  Isolated Web Co
11:52:05 PM  1000     49115     12.75      0.00 1461531824  191020   1.21  code
11:52:05 PM  1000     49179    519.61      0.00 34564788  178424   1.13  code
11:52:05 PM  1000     49237    166.67      0.00 1480184128  389076   2.47  code
11:52:05 PM  1000     49279    227.45      0.00 1461308524  116076   0.74  code
11:52:05 PM  1000     49295      0.98      0.00 1461300524  156304   0.99  code
11:52:05 PM  1000     49322     12.75      0.00 1461299592  113156   0.72  code
11:52:05 PM  1000     49323      1.96      0.00 1461316600  106736   0.68  code
11:52:05 PM  1000     49758      0.98      0.00 3262740  544376   3.46  Isolated Web Co
11:52:05 PM  1000     56952      2.94      0.00   17356    5504   0.03  pidstat
11:52:05 PM  1000     56953     56.86      0.00   33260   10112   0.06  sysbench

11:52:04 PM   UID       PID   cswch/s nvcswch/s  Command
11:52:05 PM     0        17     83.33      0.00  rcu_preempt
11:52:05 PM     0        18      1.96      0.00  migration/0
11:52:05 PM     0        23      1.96      0.00  migration/2
11:52:05 PM     0        24      1.96      0.00  ksoftirqd/2
11:52:05 PM     0        29      9.80      0.00  migration/4
11:52:05 PM     0        30      0.98      0.00  ksoftirqd/4
11:52:05 PM     0        35     12.75      0.00  migration/6
11:52:05 PM     0        36      1.96      0.00  ksoftirqd/6
11:52:05 PM     0        41      5.88      0.00  migration/8
11:52:05 PM     0        47      7.84      0.00  migration/10
11:52:05 PM     0        53      7.84      0.00  migration/12
11:52:05 PM     0        59      5.88      0.00  migration/14
11:52:05 PM     0        60      0.98      0.00  ksoftirqd/14
11:52:05 PM     0        65      1.96      0.00  migration/1
11:52:05 PM     0        71      0.98      0.00  migration/3
11:52:05 PM     0        77      0.98      0.00  migration/5
11:52:05 PM     0        83      0.98      0.00  migration/7
11:52:05 PM     0        89      0.98      0.00  migration/9
11:52:05 PM     0        95      0.98      0.00  migration/11
11:52:05 PM     0       101      2.94      0.00  migration/13
11:52:05 PM     0       107      2.94      0.00  migration/15
11:52:05 PM     0       119      1.96      0.00  kcompactd0
11:52:05 PM     0       150      0.98      0.00  kworker/7:1-mm_percpu_wq
11:52:05 PM     0       153      3.92      0.00  kworker/11:1-events
11:52:05 PM   110       774     15.69      0.00  avahi-daemon
11:52:05 PM     0       884     72.55      0.00  irq/84-rtw89_pci
11:52:05 PM     0       914     23.53      0.00  NetworkManager
11:52:05 PM     0      1242     66.67      0.98  Xorg
11:52:05 PM  1000      1501    188.24      2.94  pipewire-pulse
11:52:05 PM  1000      1752      0.98      0.00  csd-color
11:52:05 PM  1000      1908     23.53      1.96  cinnamon
11:52:05 PM  1000      2104      9.80      0.00  blueman-tray
11:52:05 PM  1000      2263     32.35      0.98  firefox-bin
11:52:05 PM  1000      2402     69.61      0.00  Privileged Cont
11:52:05 PM  1000      2470     10.78      0.00  WebExtensions
11:52:05 PM  1000      2570      2.94      0.00  Isolated Web Co
11:52:05 PM  1000      2836      2.94      0.00  Isolated Web Co
11:52:05 PM  1000      2839     31.37      0.00  Isolated Servic
11:52:05 PM  1000      2963    153.92      1.96  Isolated Web Co
11:52:05 PM  1000      3003      2.94      0.00  Isolated Web Co
11:52:05 PM  1000      4259      0.98      0.00  Isolated Web Co
11:52:05 PM  1000      4311      0.98      0.00  Isolated Web Co
11:52:05 PM  1000      4436      0.98      0.00  Isolated Web Co
11:52:05 PM  1000      4439      0.98      0.00  Isolated Web Co
11:52:05 PM  1000      4446      0.98      0.00  Isolated Web Co
11:52:05 PM  1000      4536      3.92      0.00  Isolated Web Co
11:52:05 PM  1000      4589      0.98      0.00  Isolated Web Co
11:52:05 PM  1000      4605      0.98      0.00  Isolated Web Co
11:52:05 PM  1000      4626      3.92      0.00  Isolated Web Co
11:52:05 PM  1000      4637      1.96      0.00  Isolated Web Co
11:52:05 PM  1000      4650      0.98      0.00  Isolated Web Co
11:52:05 PM  1000      4764      1.96      0.00  Isolated Web Co
11:52:05 PM  1000      4803      0.98      0.00  Isolated Web Co
11:52:05 PM  1000      4809      0.98      0.00  Isolated Web Co
11:52:05 PM  1000      4869      0.98      0.00  Isolated Web Co
11:52:05 PM  1000      4904      0.98      0.98  Isolated Web Co
11:52:05 PM  1000      4907      0.98      0.00  Isolated Web Co
11:52:05 PM  1000      4914      0.98      0.00  Isolated Web Co
11:52:05 PM  1000      5011      0.98      0.00  Isolated Web Co
11:52:05 PM  1000      5014      0.98      0.00  Isolated Web Co
11:52:05 PM  1000      5113      0.98      0.00  Isolated Web Co
11:52:05 PM  1000      5165      0.98      0.00  Isolated Web Co
11:52:05 PM  1000      5180      0.98      0.00  Isolated Web Co
11:52:05 PM  1000      5220      0.98      0.00  Isolated Web Co
11:52:05 PM  1000      5273      3.92      0.98  Isolated Web Co
11:52:05 PM  1000      5469      1.96      0.00  Isolated Web Co
11:52:05 PM  1000      5546      0.98      0.00  Isolated Web Co
11:52:05 PM  1000      5549      0.98      0.00  Isolated Web Co
11:52:05 PM  1000      5646      0.98      0.00  Isolated Web Co
11:52:05 PM  1000      5704      0.98      0.00  Isolated Web Co
11:52:05 PM     0     22875      3.92      0.00  kworker/5:1-events
11:52:05 PM     0     27141      0.98      0.00  kworker/12:0-mm_percpu_wq
11:52:05 PM     0     30134      0.98      0.00  kworker/6:0-mm_percpu_wq
11:52:05 PM  1000     32073      3.92      0.00  Isolated Web Co
11:52:05 PM  1000     32126      0.98      0.00  Isolated Web Co
11:52:05 PM  1000     32169      3.92      0.00  Isolated Web Co
11:52:05 PM  1000     35005      1.96      0.00  chrome
11:52:05 PM  1000     35280      0.98      0.00  chrome
11:52:05 PM     0     39852      3.92      0.00  kworker/3:1-events
11:52:05 PM     0     43987      0.98      0.00  kworker/13:0-mm_percpu_wq
11:52:05 PM     0     44016      1.96      0.00  kworker/9:4-mm_percpu_wq
11:52:05 PM     0     44114      0.98      0.00  kworker/14:3-mm_percpu_wq
11:52:05 PM     0     45130      2.94      0.00  kworker/2:5-mm_percpu_wq
11:52:05 PM     0     45146      1.96      0.00  kworker/8:2-events
11:52:05 PM     0     45732      0.98      0.00  kworker/10:0-mm_percpu_wq
11:52:05 PM     0     46066      1.96      0.00  kworker/15:0-events
11:52:05 PM     0     48072     41.18      0.00  kworker/u32:3-gfx_low
11:52:05 PM     0     48837      1.96      0.00  kworker/1:1-events
11:52:05 PM     0     48949      2.94      0.00  kworker/0:2-events
11:52:05 PM     0     49030      1.96      0.00  kworker/4:3-events
11:52:05 PM  1000     49115     22.55      0.00  code
11:52:05 PM  1000     49179     46.08      1.96  code
11:52:05 PM  1000     49237     50.98      0.00  code
11:52:05 PM  1000     49279     19.61      1.96  code
11:52:05 PM  1000     49295      3.92      0.00  code
11:52:05 PM  1000     49322      0.98      0.00  code
11:52:05 PM  1000     49323      9.80      0.00  code
11:52:05 PM  1000     49375      0.98      0.00  code
11:52:05 PM  1000     49758      6.86      0.98  Isolated Web Co
11:52:05 PM     0     53138     94.12      0.98  kworker/u32:2-events_unbound
11:52:05 PM     0     55897      2.94      0.00  kworker/u33:0-rtw89_tx_wq
11:52:05 PM  1000     56950      0.98      0.00  mpstat
11:52:05 PM  1000     56951      0.98      0.00  vmstat
11:52:05 PM  1000     56952      0.98      0.98  pidstat

11:52:05 PM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
11:52:06 PM     0      1242    0.00    1.00    0.00    0.00    1.00    13  Xorg
11:52:06 PM  1000      1501    1.00    0.00    0.00    0.00    1.00    15  pipewire-pulse
11:52:06 PM  1000      2263    3.00    1.00    0.00    0.00    4.00     4  firefox-bin
11:52:06 PM  1000      2402    1.00    2.00    0.00    0.00    3.00     6  Privileged Cont
11:52:06 PM  1000      2470    1.00    0.00    0.00    0.00    1.00     0  WebExtensions
11:52:06 PM  1000      2570    1.00    1.00    0.00    0.00    2.00    14  Isolated Web Co
11:52:06 PM  1000      2963    2.00    1.00    0.00    0.00    3.00     6  Isolated Web Co
11:52:06 PM  1000     49237    1.00    0.00    0.00    0.00    1.00     8  code
11:52:06 PM  1000     49279    0.00    1.00    0.00    0.00    1.00     4  code
11:52:06 PM  1000     49323    1.00    0.00    0.00    0.00    1.00    12  code
