Linux 6.8.0-51-generic (abhijeet-Vivobook) 	09/10/2025 	_x86_64_	(16 CPU)

11:52:14 PM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
11:52:15 PM     0       195    0.00    6.86    0.00    0.00    6.86     7  irq/35-ACPI:Event
11:52:15 PM     0       284    0.00    0.98    0.00    0.00    0.98     9  irq/40-ELAN1200:00
11:52:15 PM   110       774    0.98    0.00    0.00    0.00    0.98     5  avahi-daemon
11:52:15 PM     0       884    0.00    0.98    0.00    0.00    0.98    11  irq/84-rtw89_pci
11:52:15 PM     0      1242    2.94    3.92    0.00    0.00    6.86     0  Xorg
11:52:15 PM  1000      1501    0.98    0.00    0.00    0.98    0.98     6  pipewire-pulse
11:52:15 PM  1000      1908    5.88    0.98    0.00    0.00    6.86     6  cinnamon
11:52:15 PM  1000      2263    3.92    0.98    0.00    0.00    4.90    10  firefox-bin
11:52:15 PM  1000      2402    0.98    0.00    0.00    0.00    0.98     5  Privileged Cont
11:52:15 PM  1000      2570    0.98    0.00    0.00    0.00    0.98    10  Isolated Web Co
11:52:15 PM  1000      2839    0.98    0.00    0.00    0.00    0.98     5  Isolated Servic
11:52:15 PM  1000      2963    2.94    0.00    0.00    0.98    2.94     5  Isolated Web Co
11:52:15 PM  1000      4536    0.98    0.00    0.00    0.00    0.98    12  Isolated Web Co
11:52:15 PM  1000     49115    1.96    0.98    0.00    0.00    2.94    10  code
11:52:15 PM  1000     49179    5.88    2.94    0.00    0.00    8.82     4  code
11:52:15 PM  1000     49237   17.65    1.96    0.00    0.00   19.61     5  code
11:52:15 PM  1000     49279    0.00    0.98    0.00    0.00    0.98     4  code
11:52:15 PM  1000     49295    0.00    0.98    0.00    0.00    0.98     8  code
11:52:15 PM  1000     49758    1.96    0.00    0.00    0.00    1.96     4  Isolated Web Co
11:52:15 PM     0     56192    0.00    0.98    0.00    0.00    0.98     8  kworker/u32:4+events_unbound
11:52:15 PM  1000     57004    0.00    0.98    0.00    0.00    0.98     9  pidstat
11:52:15 PM  1000     57005  399.02    0.00    0.00    0.00  399.02     6  sysbench

11:52:14 PM   UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
11:52:15 PM  1000      2263     76.47      0.00 12395624  739392   4.69  firefox-bin
11:52:15 PM  1000      2402      0.98      0.00 2723500  245232   1.56  Privileged Cont
11:52:15 PM  1000      2470      1.96      0.00 2501044  133344   0.85  WebExtensions
11:52:15 PM  1000      2570    187.25      0.00 7944368  993784   6.31  Isolated Web Co
11:52:15 PM  1000      2839      7.84      0.00 2460080   78008   0.50  Isolated Servic
11:52:15 PM  1000      2963      5.88      0.00 11694672  766956   4.87  Isolated Web Co
11:52:15 PM  1000      3003     68.63      0.00 2799980  312300   1.98  Isolated Web Co
11:52:15 PM  1000      4589     69.61      0.00 2907064  302712   1.92  Isolated Web Co
11:52:15 PM  1000      4605      0.00      0.00 2529552  126820   0.80  Isolated Web Co
11:52:15 PM  1000      4626      0.00      0.00 2539944  136720   0.87  Isolated Web Co
11:52:15 PM  1000      4650      1.96      0.00 2570420  149336   0.95  Isolated Web Co
11:52:15 PM  1000      4764      1.96      0.00 2569004  146048   0.93  Isolated Web Co
11:52:15 PM  1000      5011      0.98      0.00 2500008  117220   0.74  Isolated Web Co
11:52:15 PM  1000      5014      0.00      0.00 2520488  129680   0.82  Isolated Web Co
11:52:15 PM  1000      5020      0.98      0.00 2500636  120508   0.76  Isolated Web Co
11:52:15 PM  1000      5113      0.98      0.00 2581424  154228   0.98  Isolated Web Co
11:52:15 PM  1000      5273      0.98      0.00 2529716  133364   0.85  Isolated Web Co
11:52:15 PM  1000     35051      0.00      0.00 34064912  131184   0.83  chrome
11:52:15 PM  1000     49115     14.71      0.00 1461531824  191532   1.22  code
11:52:15 PM  1000     49179    266.67      0.00 34575988  178888   1.14  code
11:52:15 PM  1000     49237    383.33      0.00 1480185088  385800   2.45  code
11:52:15 PM  1000     49279    468.63      0.00 1461308524  115944   0.74  code
11:52:15 PM  1000     49295     11.76      0.00 1461300524  156300   0.99  code
11:52:15 PM  1000     49322      4.90      0.00 1461299592  113020   0.72  code
11:52:15 PM  1000     49323      0.98      0.00 1461316600  106736   0.68  code
11:52:15 PM  1000     57004      2.94      0.00   17356    5632   0.04  pidstat
11:52:15 PM  1000     57005     13.73      0.00   33396    9728   0.06  sysbench

11:52:14 PM   UID       PID   cswch/s nvcswch/s  Command
11:52:15 PM     0        16      2.94      0.98  ksoftirqd/0
11:52:15 PM     0        17    226.47      0.00  rcu_preempt
11:52:15 PM     0        18      3.92      0.00  migration/0
11:52:15 PM     0        23      3.92      0.00  migration/2
11:52:15 PM     0        24      0.98      0.00  ksoftirqd/2
11:52:15 PM     0        29     22.55      0.00  migration/4
11:52:15 PM     0        30      0.98      0.00  ksoftirqd/4
11:52:15 PM     0        35     58.82      0.00  migration/6
11:52:15 PM     0        41     24.51      0.00  migration/8
11:52:15 PM     0        47     56.86      0.00  migration/10
11:52:15 PM     0        53     14.71      0.00  migration/12
11:52:15 PM     0        59     16.67      0.00  migration/14
11:52:15 PM     0        77      5.88      0.00  migration/5
11:52:15 PM     0        78      0.98      0.00  ksoftirqd/5
11:52:15 PM     0        83      5.88      0.00  migration/7
11:52:15 PM     0        84      0.98      0.00  ksoftirqd/7
11:52:15 PM     0        89     16.67      0.00  migration/9
11:52:15 PM     0        95     25.49      0.00  migration/11
11:52:15 PM     0       101      0.98      0.00  migration/13
11:52:15 PM     0       107      0.98      0.00  migration/15
11:52:15 PM     0       119      1.96      0.00  kcompactd0
11:52:15 PM     0       150      0.98      0.00  kworker/7:1-mm_percpu_wq
11:52:15 PM     0       153      0.98      0.00  kworker/11:1-mm_percpu_wq
11:52:15 PM     0       195    142.16      0.98  irq/35-ACPI:Event
11:52:15 PM     0       284    284.31      0.00  irq/40-ELAN1200:00
11:52:15 PM   991       747      1.96      0.00  systemd-resolve
11:52:15 PM   110       774     45.10      1.96  avahi-daemon
11:52:15 PM     0       822    145.10      2.94  touchegg
11:52:15 PM     0       884    100.98      0.00  irq/84-rtw89_pci
11:52:15 PM     0       914      2.94      0.00  NetworkManager
11:52:15 PM     0      1242   1021.57     16.67  Xorg
11:52:15 PM  1000      1501    193.14     11.76  pipewire-pulse
11:52:15 PM  1000      1750      2.94      0.00  csd-keyboard
11:52:15 PM  1000      1782      1.96      0.00  dbus-daemon
11:52:15 PM  1000      1839      5.88      0.00  at-spi2-registr
11:52:15 PM  1000      1908    408.82     22.55  cinnamon
11:52:15 PM  1000      2104      9.80      0.00  blueman-tray
11:52:15 PM  1000      2263     44.12      0.98  firefox-bin
11:52:15 PM  1000      2402     69.61      1.96  Privileged Cont
11:52:15 PM  1000      2470      8.82      0.00  WebExtensions
11:52:15 PM  1000      2570     13.73      0.00  Isolated Web Co
11:52:15 PM  1000      2836      2.94      0.00  Isolated Web Co
11:52:15 PM  1000      2839     24.51      0.00  Isolated Servic
11:52:15 PM  1000      2963    149.02     41.18  Isolated Web Co
11:52:15 PM  1000      3003      6.86      0.00  Isolated Web Co
11:52:15 PM  1000      4259      0.98      0.00  Isolated Web Co
11:52:15 PM  1000      4311      0.98      0.00  Isolated Web Co
11:52:15 PM  1000      4436      0.98      0.00  Isolated Web Co
11:52:15 PM  1000      4439      0.98      0.00  Isolated Web Co
11:52:15 PM  1000      4446      0.98      0.00  Isolated Web Co
11:52:15 PM  1000      4536      0.98      0.00  Isolated Web Co
11:52:15 PM  1000      4589      4.90      0.00  Isolated Web Co
11:52:15 PM  1000      4605      3.92      0.00  Isolated Web Co
11:52:15 PM  1000      4626      3.92      0.00  Isolated Web Co
11:52:15 PM  1000      4637      0.98      0.00  Isolated Web Co
11:52:15 PM  1000      4650      3.92      0.00  Isolated Web Co
11:52:15 PM  1000      4764      3.92      0.00  Isolated Web Co
11:52:15 PM  1000      4803      0.98      0.00  Isolated Web Co
11:52:15 PM  1000      4809      0.98      0.00  Isolated Web Co
11:52:15 PM  1000      4869      0.98      0.00  Isolated Web Co
11:52:15 PM  1000      4904      0.98      0.00  Isolated Web Co
11:52:15 PM  1000      4907      0.98      0.00  Isolated Web Co
11:52:15 PM  1000      4914      0.98      0.00  Isolated Web Co
11:52:15 PM  1000      5011      0.98      0.00  Isolated Web Co
11:52:15 PM  1000      5014      3.92      0.00  Isolated Web Co
11:52:15 PM  1000      5020      0.98      0.00  Isolated Web Co
11:52:15 PM  1000      5113      2.94      0.00  Isolated Web Co
11:52:15 PM  1000      5165      0.98      0.00  Isolated Web Co
11:52:15 PM  1000      5180      0.98      0.00  Isolated Web Co
11:52:15 PM  1000      5220      0.98      0.00  Isolated Web Co
11:52:15 PM  1000      5273      1.96      0.00  Isolated Web Co
11:52:15 PM  1000      5469      2.94      0.00  Isolated Web Co
11:52:15 PM  1000      5546      0.98      0.00  Isolated Web Co
11:52:15 PM  1000      5549      0.98      0.00  Isolated Web Co
11:52:15 PM  1000      5646      0.98      0.00  Isolated Web Co
11:52:15 PM  1000      5704      0.98      0.00  Isolated Web Co
11:52:15 PM     0     22875      1.96      0.00  kworker/5:1-events
11:52:15 PM     0     27141      0.98      0.00  kworker/12:0-mm_percpu_wq
11:52:15 PM     0     30134      1.96      0.00  kworker/6:0-events
11:52:15 PM  1000     32073      0.98      0.00  Isolated Web Co
11:52:15 PM  1000     32126      0.98      0.98  Isolated Web Co
11:52:15 PM  1000     32169      0.98      0.00  Isolated Web Co
11:52:15 PM  1000     35005      2.94      0.00  chrome
11:52:15 PM  1000     35050      0.98      0.00  chrome
11:52:15 PM  1000     35051      0.98      0.00  chrome
11:52:15 PM  1000     35280      0.98      0.00  chrome
11:52:15 PM     0     39852      2.94      0.00  kworker/3:1-events
11:52:15 PM     0     43987      0.98      0.00  kworker/13:0-mm_percpu_wq
11:52:15 PM     0     44016      0.98      0.00  kworker/9:4-mm_percpu_wq
11:52:15 PM     0     44114      0.98      0.00  kworker/14:3-mm_percpu_wq
11:52:15 PM     0     45130      0.98      0.00  kworker/2:5-mm_percpu_wq
