Linux 6.8.0-51-generic (abhijeet-Vivobook) 	09/10/2025 	_x86_64_	(16 CPU)

11:52:24 PM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
11:52:25 PM   110       774    0.97    0.00    0.00    0.00    0.97     8  avahi-daemon
11:52:25 PM     0      1242    0.97    1.94    0.00    0.00    2.91     8  Xorg
11:52:25 PM  1000      1497    0.97    0.00    0.00    0.00    0.97    12  pipewire
11:52:25 PM  1000      1908    5.83    0.97    0.00    0.00    6.80     1  cinnamon
11:52:25 PM  1000      2263    1.94    0.97    0.00    0.00    2.91    13  firefox-bin
11:52:25 PM  1000      2570    0.97    0.00    0.00    0.00    0.97     7  Isolated Web Co
11:52:25 PM  1000      2963    2.91    1.94    0.00    0.97    4.85    10  Isolated Web Co
11:52:25 PM  1000      4907    0.00    0.97    0.00    0.00    0.97    13  Isolated Web Co
11:52:25 PM  1000     32126    0.97    0.97    0.00    0.00    1.94     3  Isolated Web Co
11:52:25 PM  1000     49115    0.97    0.00    0.00    0.00    0.97     8  code
11:52:25 PM  1000     49179    4.85    0.97    0.00    0.00    5.83    14  code
11:52:25 PM  1000     49237    7.77    0.00    0.00    0.00    7.77     8  code
11:52:25 PM  1000     49758    0.97    0.00    0.00    0.00    0.97    13  Isolated Web Co
11:52:25 PM     0     56192    0.00    0.97    0.00    0.00    0.97     8  kworker/u32:4-gfx_low
11:52:25 PM  1000     57055    0.00    1.94    0.00    0.00    1.94     5  pidstat
11:52:25 PM  1000     57056  794.17    0.00    0.00    0.00  794.17    13  sysbench

11:52:24 PM   UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
11:52:25 PM  1000      1908      7.77      0.00 5279180  262240   1.66  cinnamon
11:52:25 PM  1000      2470      0.97      0.00 2501044  133600   0.85  WebExtensions
11:52:25 PM  1000      2570    218.45      0.00 7944368  992260   6.30  Isolated Web Co
11:52:25 PM  1000      2839      8.74      0.00 2460064   78008   0.50  Isolated Servic
11:52:25 PM  1000      3003      1.94      0.00 2799980  312532   1.98  Isolated Web Co
11:52:25 PM  1000      4259      0.97      0.00 2779280  197352   1.25  Isolated Web Co
11:52:25 PM  1000      4436      0.97      0.00 2485148  110424   0.70  Isolated Web Co
11:52:25 PM  1000      4650      3.88      0.00 2570404  149336   0.95  Isolated Web Co
11:52:25 PM  1000      4764      0.97      0.00 2568988  146048   0.93  Isolated Web Co
11:52:25 PM  1000      4914      0.97      0.00 2522988  138900   0.88  Isolated Web Co
11:52:25 PM  1000      5113      0.97      0.00 2581408  154100   0.98  Isolated Web Co
11:52:25 PM  1000      5180     26.21      0.00 2498724  119416   0.76  Isolated Web Co
11:52:25 PM  1000      5469      0.97      0.00 2549176  142792   0.91  Isolated Web Co
11:52:25 PM  1000      5646      0.00      0.00 2513032  124400   0.79  Isolated Web Co
11:52:25 PM  1000     32126     41.75      0.00 2463160  109084   0.69  Isolated Web Co
11:52:25 PM  1000     49115     23.30      0.00 1461531824  191268   1.21  code
11:52:25 PM  1000     49179    185.44      0.00 34573940  178568   1.13  code
11:52:25 PM  1000     49237    164.08      0.00 1480185088  387336   2.46  code
11:52:25 PM  1000     49279    220.39      0.00 1461308524  115940   0.74  code
11:52:25 PM  1000     49295      0.97      0.00 1461300524  156300   0.99  code
11:52:25 PM  1000     49322     20.39      0.00 1461299592  113020   0.72  code
11:52:25 PM  1000     57055      2.91      0.00   17356    5632   0.04  pidstat
11:52:25 PM  1000     57056      0.97      0.00   33668    9600   0.06  sysbench

11:52:24 PM   UID       PID   cswch/s nvcswch/s  Command
11:52:25 PM     0        17    215.53      0.00  rcu_preempt
11:52:25 PM     0        18      0.97      0.00  migration/0
11:52:25 PM     0        23      1.94      0.00  migration/2
11:52:25 PM     0        24      0.97      0.00  ksoftirqd/2
11:52:25 PM     0        29      0.97      0.00  migration/4
11:52:25 PM     0        35      1.94      0.00  migration/6
11:52:25 PM     0        41      1.94      0.00  migration/8
11:52:25 PM     0        47      2.91      0.00  migration/10
11:52:25 PM     0        48      1.94      0.00  ksoftirqd/10
11:52:25 PM     0        53      0.97      0.00  migration/12
11:52:25 PM     0        54      0.97      0.00  ksoftirqd/12
11:52:25 PM     0        59      0.97      0.00  migration/14
11:52:25 PM     0        60      1.94      0.00  ksoftirqd/14
11:52:25 PM     0        65      0.97      0.00  migration/1
11:52:25 PM     0        66      1.94      0.00  ksoftirqd/1
11:52:25 PM     0        71      0.97      0.00  migration/3
11:52:25 PM     0        72      0.97      0.00  ksoftirqd/3
11:52:25 PM     0        77      0.97      0.00  migration/5
11:52:25 PM     0        83      0.97      0.00  migration/7
11:52:25 PM     0        89      1.94      0.00  migration/9
11:52:25 PM     0        95      1.94      0.00  migration/11
11:52:25 PM     0       101      0.97      0.00  migration/13
11:52:25 PM     0       107      0.97      0.00  migration/15
11:52:25 PM     0       119      1.94      0.00  kcompactd0
11:52:25 PM     0       150      0.97      0.00  kworker/7:1-events
11:52:25 PM     0       153      4.85      0.00  kworker/11:1-mld
11:52:25 PM     0       248      0.97      0.00  kworker/8:1H-kblockd
11:52:25 PM   110       774     31.07      0.00  avahi-daemon
11:52:25 PM     0       884    114.56      0.00  irq/84-rtw89_pci
11:52:25 PM     0       914     19.42      0.00  NetworkManager
11:52:25 PM     0      1242    605.83      0.00  Xorg
11:52:25 PM  1000      1501    187.38      0.00  pipewire-pulse
11:52:25 PM  1000      1908    284.47     10.68  cinnamon
11:52:25 PM  1000      2104     10.68      0.00  blueman-tray
11:52:25 PM  1000      2263     33.98      1.94  firefox-bin
11:52:25 PM  1000      2402     69.90      0.00  Privileged Cont
11:52:25 PM  1000      2470     11.65      0.00  WebExtensions
11:52:25 PM  1000      2570      6.80      1.94  Isolated Web Co
11:52:25 PM  1000      2836      2.91      0.00  Isolated Web Co
11:52:25 PM  1000      2839     30.10      0.00  Isolated Servic
11:52:25 PM  1000      2963    151.46      7.77  Isolated Web Co
11:52:25 PM  1000      3003      3.88      0.00  Isolated Web Co
11:52:25 PM  1000      4259      0.97      0.00  Isolated Web Co
11:52:25 PM  1000      4311      0.97      0.00  Isolated Web Co
11:52:25 PM  1000      4436      0.97      0.00  Isolated Web Co
11:52:25 PM  1000      4439      1.94      0.00  Isolated Web Co
11:52:25 PM  1000      4446      0.97      0.00  Isolated Web Co
11:52:25 PM  1000      4536      0.97      0.00  Isolated Web Co
11:52:25 PM  1000      4589      1.94      1.94  Isolated Web Co
11:52:25 PM  1000      4605      0.97      0.00  Isolated Web Co
11:52:25 PM  1000      4626      0.97      0.00  Isolated Web Co
11:52:25 PM  1000      4637      0.97      0.00  Isolated Web Co
11:52:25 PM  1000      4650      1.94      0.00  Isolated Web Co
11:52:25 PM  1000      4764      0.97      0.00  Isolated Web Co
11:52:25 PM  1000      4803      0.97      0.00  Isolated Web Co
11:52:25 PM  1000      4809      0.97      0.00  Isolated Web Co
11:52:25 PM  1000      4869      0.97      0.00  Isolated Web Co
11:52:25 PM  1000      4904      0.97      0.00  Isolated Web Co
11:52:25 PM  1000      4907      0.97      0.00  Isolated Web Co
11:52:25 PM  1000      4914      0.97      0.00  Isolated Web Co
