Linux 6.8.0-51-generic (abhijeet-Vivobook) 	09/10/2025 	_x86_64_	(16 CPU)

11:54:24 PM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
11:54:25 PM     0        17    0.00    0.95    0.00    0.00    0.95    11  rcu_preempt
11:54:25 PM     0        47    0.00    0.95    0.00    0.00    0.95    10  migration/10
11:54:25 PM     0       884    0.00    0.95    0.00    0.95    0.95    11  irq/84-rtw89_pci
11:54:25 PM     0      1242    1.90    2.86    0.00    0.00    4.76     7  Xorg
11:54:25 PM  1000      1501    0.95    0.95    0.00    0.00    1.90     8  pipewire-pulse
11:54:25 PM  1000      1908    6.67    0.95    0.00    0.00    7.62     4  cinnamon
11:54:25 PM  1000      2263    4.76    2.86    0.00    0.00    7.62    14  firefox-bin
11:54:25 PM  1000      2402    0.95    0.95    0.00    0.00    1.90     2  Privileged Cont
11:54:25 PM  1000      2570    0.95    0.00    0.00    0.00    0.95     3  Isolated Web Co
11:54:25 PM  1000      2963    3.81    1.90    0.00    0.00    5.71    10  Isolated Web Co
11:54:25 PM  1000      4536    0.95    0.95    0.00    0.00    1.90     8  Isolated Web Co
11:54:25 PM  1000      5273    0.95    0.00    0.00    0.00    0.95     6  Isolated Web Co
11:54:25 PM  1000     32126    0.95    0.95    0.00    0.00    1.90     6  Isolated Web Co
11:54:25 PM  1000     49115    0.95    0.00    0.00    0.00    0.95    14  code
11:54:25 PM  1000     49179    3.81    1.90    0.00    0.00    5.71     6  code
11:54:25 PM  1000     49237   11.43    0.95    0.00    0.00   12.38     4  code
11:54:25 PM  1000     49279    0.00    1.90    0.00    0.00    1.90     6  code
11:54:25 PM  1000     49295    0.95    0.00    0.00    0.00    0.95    12  code
11:54:25 PM  1000     49323   60.95   10.48    0.00    0.00   71.43     8  code
11:54:25 PM  1000     49758    0.95    0.00    0.00    0.00    0.95     8  Isolated Web Co
11:54:25 PM     0     51235    0.00    3.81    0.00    0.00    3.81    10  kworker/u32:0-gfx_low
11:54:25 PM     0     53138    0.00    5.71    0.00    0.00    5.71    11  kworker/u32:2-gfx_low
11:54:25 PM  1000     57762    0.95    3.81    0.00    0.00    4.76    13  pidstat
11:54:25 PM  1000     57763    0.95   88.57    0.00    0.00   89.52     3  sysbench

11:54:24 PM   UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
11:54:25 PM  1000      1908      5.71      0.00 5279180  262440   1.67  cinnamon
11:54:25 PM  1000      2263     19.05      0.00 12392576  750876   4.77  firefox-bin
11:54:25 PM  1000      2470      1.90      0.00 2501044  133092   0.84  WebExtensions
11:54:25 PM  1000      2570     14.29      0.00 7944368  993292   6.30  Isolated Web Co
11:54:25 PM  1000      2963      1.90      0.00 11699792  781504   4.96  Isolated Web Co
11:54:25 PM  1000      4536      8.57      0.00 2674512  197320   1.25  Isolated Web Co
11:54:25 PM  1000      4589     75.24      0.00 2908088  304028   1.93  Isolated Web Co
11:54:25 PM  1000      4605      0.95      0.00 2529552  126784   0.80  Isolated Web Co
11:54:25 PM  1000      4650      0.95      0.00 2570404  149804   0.95  Isolated Web Co
11:54:25 PM  1000      4764      0.95      0.00 2568988  146116   0.93  Isolated Web Co
11:54:25 PM  1000      4803      0.95      0.00 2511096  122240   0.78  Isolated Web Co
11:54:25 PM  1000      4869      0.95      0.00 2516476  124248   0.79  Isolated Web Co
11:54:25 PM  1000      4907      0.95      0.00 2503844  123192   0.78  Isolated Web Co
11:54:25 PM  1000      4914      1.90      0.00 2522988  139188   0.88  Isolated Web Co
11:54:25 PM  1000      5011      0.95      0.00 2500008  117472   0.75  Isolated Web Co
11:54:25 PM  1000      5020      0.95      0.00 2500636  120304   0.76  Isolated Web Co
11:54:25 PM  1000      5180     25.71      0.00 2498724  119504   0.76  Isolated Web Co
11:54:25 PM  1000      5273      0.95      0.00 2529700  133436   0.85  Isolated Web Co
11:54:25 PM  1000      5469      0.95      0.00 2549176  142928   0.91  Isolated Web Co
11:54:25 PM  1000      5646      0.95      0.00 2513032  124252   0.79  Isolated Web Co
11:54:25 PM  1000     32126     27.62      0.00 2463160  108888   0.69  Isolated Web Co
11:54:25 PM  1000     35005    122.86      0.00 34324576  363772   2.31  chrome
11:54:25 PM  1000     49115      2.86      0.00 1461531824  191100   1.21  code
11:54:25 PM  1000     49179    226.67      0.00 34569844  178024   1.13  code
11:54:25 PM  1000     49237    242.86      0.00 1480185088  386640   2.45  code
11:54:25 PM  1000     49279    323.81      0.00 1461308524  115900   0.74  code
11:54:25 PM  1000     49295     14.29      0.00 1461300524  156036   0.99  code
11:54:25 PM  1000     49322      7.62      0.00 1461299592  113116   0.72  code
11:54:25 PM  1000     49323     19.05      0.00 1461316600  107028   0.68  code
11:54:25 PM  1000     49758      5.71      0.00 3281480  541940   3.44  Isolated Web Co
11:54:25 PM  1000     57762      3.81      0.00   17496    5376   0.03  pidstat

11:54:24 PM   UID       PID   cswch/s nvcswch/s  Command
11:54:25 PM     0        16      2.86      0.00  ksoftirqd/0
11:54:25 PM     0        17    157.14      0.95  rcu_preempt
11:54:25 PM     0        18     18.10      0.00  migration/0
11:54:25 PM     0        23     12.38      0.00  migration/2
11:54:25 PM     0        29     35.24      0.00  migration/4
11:54:25 PM     0        30      0.95      0.00  ksoftirqd/4
11:54:25 PM     0        35     39.05      0.00  migration/6
11:54:25 PM     0        41     31.43      0.00  migration/8
11:54:25 PM     0        47     45.71      0.00  migration/10
11:54:25 PM     0        53     21.90      0.00  migration/12
11:54:25 PM     0        54      0.95      0.00  ksoftirqd/12
11:54:25 PM     0        59     27.62      0.00  migration/14
11:54:25 PM     0        65      0.95      0.00  migration/1
11:54:25 PM     0        71      1.90      0.00  migration/3
11:54:25 PM     0        77      9.52      0.00  migration/5
11:54:25 PM     0        83     22.86      0.00  migration/7
11:54:25 PM     0        89      1.90      0.00  migration/9
11:54:25 PM     0        95      3.81      0.00  migration/11
11:54:25 PM     0       101      7.62      0.00  migration/13
11:54:25 PM     0       107      2.86      0.00  migration/15
11:54:25 PM     0       119      1.90      0.00  kcompactd0
11:54:25 PM     0       135     13.33      0.00  kworker/14:1H-kblockd
11:54:25 PM     0       150      0.95      0.00  kworker/7:1-mm_percpu_wq
11:54:25 PM     0       153      7.62      0.95  kworker/11:1-mld
11:54:25 PM     0       252     11.43      0.00  kworker/2:1H-kblockd
11:54:25 PM     0       273     11.43      0.00  kworker/1:1H-kblockd
11:54:25 PM     0       283      7.62      0.00  kworker/3:1H-kblockd
11:54:25 PM     0       367     65.71      3.81  jbd2/nvme0n1p7-8
11:54:25 PM   110       774     14.29      0.00  avahi-daemon
11:54:25 PM     0       884     67.62      0.00  irq/84-rtw89_pci
11:54:25 PM     0       914     21.90      0.00  NetworkManager
11:54:25 PM     0      1242    261.90     11.43  Xorg
11:54:25 PM  1000      1501    188.57     28.57  pipewire-pulse
11:54:25 PM  1000      1908    162.86     20.00  cinnamon
11:54:25 PM  1000      2104      9.52      0.00  blueman-tray
11:54:25 PM  1000      2263     35.24      0.95  firefox-bin
11:54:25 PM  1000      2352      0.95      0.00  Socket Process
11:54:25 PM  1000      2402     70.48      0.95  Privileged Cont
11:54:25 PM  1000      2470      7.62      0.00  WebExtensions
11:54:25 PM  1000      2570      8.57      0.00  Isolated Web Co
11:54:25 PM  1000      2836      0.95      0.00  Isolated Web Co
11:54:25 PM  1000      2839      0.95      0.00  Isolated Servic
11:54:25 PM  1000      2963    152.38     18.10  Isolated Web Co
11:54:25 PM  1000      3003      4.76      1.90  Isolated Web Co
11:54:25 PM  1000      4259      1.90      0.95  Isolated Web Co
11:54:25 PM  1000      4311      2.86      0.00  Isolated Web Co
11:54:25 PM  1000      4436      2.86      0.00  Isolated Web Co
11:54:25 PM  1000      4439      1.90      0.00  Isolated Web Co
11:54:25 PM  1000      4446      1.90      0.00  Isolated Web Co
11:54:25 PM  1000      4536      4.76      0.95  Isolated Web Co
11:54:25 PM  1000      4589      5.71      1.90  Isolated Web Co
11:54:25 PM  1000      4605      2.86      0.00  Isolated Web Co
11:54:25 PM  1000      4626      1.90      0.00  Isolated Web Co
11:54:25 PM  1000      4637      0.95      0.00  Isolated Web Co
11:54:25 PM  1000      4650      2.86      0.00  Isolated Web Co
11:54:25 PM  1000      4764      0.95      0.00  Isolated Web Co
11:54:25 PM  1000      4803      2.86      0.00  Isolated Web Co
11:54:25 PM  1000      4809      1.90      0.00  Isolated Web Co
11:54:25 PM  1000      4869      2.86      0.00  Isolated Web Co
11:54:25 PM  1000      4904      1.90      1.90  Isolated Web Co
11:54:25 PM  1000      4907      5.71      0.00  Isolated Web Co
11:54:25 PM  1000      4914      1.90      0.00  Isolated Web Co
11:54:25 PM  1000      5011      1.90      0.95  Isolated Web Co
11:54:25 PM  1000      5014      1.90      0.00  Isolated Web Co
11:54:25 PM  1000      5020      0.95      0.00  Isolated Web Co
11:54:25 PM  1000      5113      1.90      0.00  Isolated Web Co
11:54:25 PM  1000      5165      1.90      0.95  Isolated Web Co
11:54:25 PM  1000      5180      5.71      0.95  Isolated Web Co
11:54:25 PM  1000      5220      2.86      0.00  Isolated Web Co
11:54:25 PM  1000      5273      2.86      1.90  Isolated Web Co
11:54:25 PM  1000      5469      2.86      0.00  Isolated Web Co
11:54:25 PM  1000      5546      2.86      0.00  Isolated Web Co
11:54:25 PM  1000      5549      2.86      0.00  Isolated Web Co
11:54:25 PM  1000      5646      4.76      0.00  Isolated Web Co
11:54:25 PM  1000      5704      2.86      0.00  Isolated Web Co
11:54:25 PM     0     22875      0.95      0.00  kworker/5:1-mm_percpu_wq
11:54:25 PM     0     27141      0.95      0.00  kworker/12:0-mm_percpu_wq
11:54:25 PM     0     30134      1.90      0.00  kworker/6:0-mm_percpu_wq
11:54:25 PM  1000     32073      0.95      0.00  Isolated Web Co
11:54:25 PM  1000     32126      2.86      0.00  Isolated Web Co
