Linux 6.8.0-51-generic (abhijeet-Vivobook) 	09/10/2025 	_x86_64_	(16 CPU)

11:53:39 PM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
11:53:40 PM     0        47    0.00    0.98    0.00    0.00    0.98    10  migration/10
11:53:40 PM     0       367    0.00    0.98    0.00    0.00    0.98     9  jbd2/nvme0n1p7-8
11:53:40 PM     0      1242    0.98    2.94    0.00    0.00    3.92     5  Xorg
11:53:40 PM  1000      1497    0.98    0.00    0.00    0.00    0.98    12  pipewire
11:53:40 PM  1000      1908    5.88    1.96    0.00    0.00    7.84    15  cinnamon
11:53:40 PM  1000      2104    0.98    0.00    0.00    0.00    0.98    13  blueman-tray
11:53:40 PM  1000      2263    9.80    5.88    0.00    0.00   15.69     6  firefox-bin
11:53:40 PM  1000      2402    0.00    0.98    0.00    0.00    0.98     2  Privileged Cont
11:53:40 PM  1000      2963    2.94    0.00    0.00    0.00    2.94     4  Isolated Web Co
11:53:40 PM  1000      4259    0.98    0.00    0.00    0.00    0.98    15  Isolated Web Co
11:53:40 PM  1000      4436    0.00    0.98    0.00    0.00    0.98    12  Isolated Web Co
11:53:40 PM  1000      5180    0.98    0.98    0.00    0.00    1.96    15  Isolated Web Co
11:53:40 PM     0     48072    0.00    4.90    0.00    0.98    4.90     9  kworker/u32:3-gfx_low
11:53:40 PM  1000     49115    0.98    0.00    0.00    0.00    0.98     8  code
11:53:40 PM  1000     49179    2.94    0.98    0.00    0.00    3.92     2  code
11:53:40 PM  1000     49237    9.80    0.00    0.00    0.00    9.80    14  code
11:53:40 PM  1000     49295    0.98    0.00    0.00    0.00    0.98     7  code
11:53:40 PM  1000     49323   49.02    7.84    0.00    0.00   56.86     4  code
11:53:40 PM  1000     49758   72.55    2.94    0.00    0.98   75.49     0  Isolated Web Co
11:53:40 PM     0     53138    0.00    6.86    0.00    0.00    6.86     5  kworker/u32:2-ext4-rsv-conversion
11:53:40 PM     0     56192    0.00    0.98    0.00    0.00    0.98     2  kworker/u32:4-gfx_low
11:53:40 PM  1000     57551    0.00    0.98    0.00    0.00    0.98     4  pidstat
11:53:40 PM  1000     57552    0.98   76.47    0.00    0.00   77.45     3  sysbench

11:53:39 PM   UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
11:53:40 PM  1000      1908      2.94      0.00 5279180  262188   1.66  cinnamon
11:53:40 PM  1000      2263     87.25      0.00 12396656  744496   4.73  firefox-bin
11:53:40 PM  1000      2470     11.76      0.00 2501060  132068   0.84  WebExtensions
11:53:40 PM  1000      2570    114.71      0.00 7944352  991720   6.29  Isolated Web Co
11:53:40 PM  1000      2963      2.94      0.00 11699792  775876   4.92  Isolated Web Co
11:53:40 PM  1000      4259      0.98      0.00 2779280  199396   1.27  Isolated Web Co
11:53:40 PM  1000      4536      1.96      0.00 2674496  196904   1.25  Isolated Web Co
11:53:40 PM  1000      4589      1.96      0.00 2907080  303616   1.93  Isolated Web Co
11:53:40 PM  1000      4626      0.98      0.00 2539944  136696   0.87  Isolated Web Co
11:53:40 PM  1000      4904      0.98      0.00 2501044  116452   0.74  Isolated Web Co
11:53:40 PM  1000      4914      0.98      0.00 2522988  139284   0.88  Isolated Web Co
11:53:40 PM  1000      5180      5.88      0.00 2498740  119544   0.76  Isolated Web Co
11:53:40 PM  1000     35005      1.96      0.00 34324576  363904   2.31  chrome
11:53:40 PM  1000     35050     88.24      0.00 34734236  274280   1.74  chrome
11:53:40 PM  1000     35051     13.73      0.00 34064912  131552   0.83  chrome
11:53:40 PM  1000     49115     10.78      0.00 1461531824  191112   1.21  code
11:53:40 PM  1000     49179    405.88      0.00 34573940  178500   1.13  code
11:53:40 PM  1000     49237    552.94      0.00 1480185088  387092   2.46  code
11:53:40 PM  1000     49279    313.73      0.00 1461308524  115712   0.73  code
11:53:40 PM  1000     49295     60.78      0.00 1461300524  156668   0.99  code
11:53:40 PM  1000     49322     17.65      0.00 1461299592  113144   0.72  code
11:53:40 PM  1000     49323     41.18      0.00 1461316600  106148   0.67  code
11:53:40 PM  1000     49758  15211.76      0.00 3277416  811664   5.15  Isolated Web Co
11:53:40 PM  1000     57551      2.94      0.00   17356    5504   0.03  pidstat

11:53:39 PM   UID       PID   cswch/s nvcswch/s  Command
11:53:40 PM     0        16      0.98      0.00  ksoftirqd/0
11:53:40 PM     0        17    250.98      1.96  rcu_preempt
11:53:40 PM     0        18     13.73      0.00  migration/0
11:53:40 PM     0        23     13.73      0.00  migration/2
11:53:40 PM     0        29     67.65      0.00  migration/4
11:53:40 PM     0        30      0.98      0.00  ksoftirqd/4
11:53:40 PM     0        35     98.04      0.00  migration/6
11:53:40 PM     0        41     56.86      0.00  migration/8
11:53:40 PM     0        47     92.16      0.00  migration/10
11:53:40 PM     0        48      0.98      0.00  ksoftirqd/10
11:53:40 PM     0        53     25.49      0.00  migration/12
11:53:40 PM     0        59     43.14      0.00  migration/14
11:53:40 PM     0        60      0.98      0.00  ksoftirqd/14
11:53:40 PM     0        65      1.96      0.00  migration/1
11:53:40 PM     0        66      2.94      0.00  ksoftirqd/1
11:53:40 PM     0        71      0.98      0.00  migration/3
11:53:40 PM     0        77     11.76      0.00  migration/5
11:53:40 PM     0        83      7.84      0.00  migration/7
11:53:40 PM     0        89     18.63      0.00  migration/9
11:53:40 PM     0        95     18.63      0.00  migration/11
11:53:40 PM     0       101      2.94      0.00  migration/13
11:53:40 PM     0       107      4.90      0.00  migration/15
11:53:40 PM     0       108      0.98      0.00  ksoftirqd/15
11:53:40 PM     0       119      1.96      0.00  kcompactd0
11:53:40 PM     0       135     23.53      0.00  kworker/14:1H-kblockd
11:53:40 PM     0       153      2.94      0.00  kworker/11:1-mm_percpu_wq
11:53:40 PM     0       224      5.88      0.00  kworker/9:1H-kblockd
11:53:40 PM     0       251     35.29      0.00  kworker/4:1H-kblockd
11:53:40 PM     0       255     15.69      0.00  kworker/10:1H-kblockd
11:53:40 PM     0       367    120.59      3.92  jbd2/nvme0n1p7-8
11:53:40 PM   110       774     21.57      0.00  avahi-daemon
11:53:40 PM     0       884    245.10      0.00  irq/84-rtw89_pci
11:53:40 PM     0       914     25.49      0.00  NetworkManager
11:53:40 PM     0      1242    526.47     27.45  Xorg
11:53:40 PM  1000      1501    192.16     26.47  pipewire-pulse
11:53:40 PM  1000      1908    351.96     30.39  cinnamon
11:53:40 PM  1000      2104      9.80      0.00  blueman-tray
11:53:40 PM  1000      2263    103.92      9.80  firefox-bin
11:53:40 PM  1000      2402     69.61      2.94  Privileged Cont
11:53:40 PM  1000      2470      8.82      0.00  WebExtensions
11:53:40 PM  1000      2570     13.73      0.00  Isolated Web Co
11:53:40 PM  1000      2836      0.98      0.00  Isolated Web Co
11:53:40 PM  1000      2963    153.92     17.65  Isolated Web Co
11:53:40 PM  1000      3003      1.96      0.00  Isolated Web Co
11:53:40 PM  1000      4259      3.92      0.00  Isolated Web Co
11:53:40 PM  1000      4311      0.98      0.00  Isolated Web Co
11:53:40 PM  1000      4436      1.96      0.00  Isolated Web Co
11:53:40 PM  1000      4439      0.98      0.00  Isolated Web Co
11:53:40 PM  1000      4446      0.98      0.00  Isolated Web Co
11:53:40 PM  1000      4536      4.90      0.00  Isolated Web Co
11:53:40 PM  1000      4589      1.96      0.00  Isolated Web Co
11:53:40 PM  1000      4605      0.98      0.00  Isolated Web Co
11:53:40 PM  1000      4626      3.92      0.00  Isolated Web Co
11:53:40 PM  1000      4637      0.98      0.00  Isolated Web Co
11:53:40 PM  1000      4650      0.98      0.00  Isolated Web Co
11:53:40 PM  1000      4764      0.98      0.00  Isolated Web Co
11:53:40 PM  1000      4803      0.98      0.00  Isolated Web Co
11:53:40 PM  1000      4809      0.98      0.00  Isolated Web Co
11:53:40 PM  1000      4869      0.98      0.00  Isolated Web Co
11:53:40 PM  1000      4904      1.96      0.00  Isolated Web Co
11:53:40 PM  1000      4907      0.98      0.00  Isolated Web Co
11:53:40 PM  1000      4914      0.98      0.00  Isolated Web Co
11:53:40 PM  1000      5011      0.98      0.00  Isolated Web Co
11:53:40 PM  1000      5014      0.98      0.00  Isolated Web Co
11:53:40 PM  1000      5113      0.98      0.00  Isolated Web Co
11:53:40 PM  1000      5165      0.98      0.00  Isolated Web Co
11:53:40 PM  1000      5180      1.96      0.00  Isolated Web Co
11:53:40 PM  1000      5220      0.98      0.00  Isolated Web Co
11:53:40 PM  1000      5273      0.98      0.00  Isolated Web Co
11:53:40 PM  1000      5469      0.98      0.00  Isolated Web Co
