Linux 6.8.0-51-generic (abhijeet-Vivobook) 	09/10/2025 	_x86_64_	(16 CPU)

11:53:52 PM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
11:53:53 PM     0        89    0.00    0.97    0.00    0.97    0.97     9  migration/9
11:53:53 PM     0       195    0.00    5.83    0.00    0.00    5.83     7  irq/35-ACPI:Event
11:53:53 PM     0       284    0.00    0.97    0.00    0.97    0.97     9  irq/40-ELAN1200:00
11:53:53 PM     0       367    0.00    0.97    0.00    0.00    0.97     4  jbd2/nvme0n1p7-8
11:53:53 PM     0       884    0.00    0.97    0.00    0.00    0.97    11  irq/84-rtw89_pci
11:53:53 PM     0      1242    3.88    3.88    0.00    0.00    7.77     4  Xorg
11:53:53 PM  1000      1501    0.00    1.94    0.00    0.00    1.94    14  pipewire-pulse
11:53:53 PM  1000      1839    0.97    0.97    0.00    0.00    1.94    12  at-spi2-registr
11:53:53 PM  1000      1908   10.68    1.94    0.00    0.97   12.62     9  cinnamon
11:53:53 PM  1000      2263   12.62    7.77    0.00    0.00   20.39     6  firefox-bin
11:53:53 PM  1000      2402    0.00    0.97    0.00    0.00    0.97     5  Privileged Cont
11:53:53 PM  1000      2963    5.83    0.97    0.00    0.00    6.80     7  Isolated Web Co
11:53:53 PM  1000      4259    0.97    0.00    0.00    0.00    0.97    14  Isolated Web Co
11:53:53 PM  1000     49115    0.97    0.00    0.00    0.00    0.97    13  code
11:53:53 PM  1000     49179    4.85    2.91    0.00    0.00    7.77    15  code
11:53:53 PM  1000     49237    7.77    0.97    0.00    0.00    8.74     4  code
11:53:53 PM  1000     49279    0.00    0.97    0.00    0.00    0.97     4  code
11:53:53 PM  1000     49295    0.00    0.97    0.00    0.00    0.97     3  code
11:53:53 PM  1000     49323   52.43   10.68    0.00    0.00   63.11    10  code
11:53:53 PM  1000     49758   96.12    1.94    0.00    0.00   98.06     1  Isolated Web Co
11:53:53 PM     0     53138    0.00    6.80    0.00    0.00    6.80    10  kworker/u32:2+events_unbound
11:53:53 PM     0     56192    0.00    6.80    0.00    0.00    6.80     9  kworker/u32:4-ext4-rsv-conversion
11:53:53 PM  1000     57631    0.97    1.94    0.00    0.00    2.91     2  pidstat
11:53:53 PM  1000     57632    0.00   84.47    0.00    0.00   84.47    13  sysbench

11:53:52 PM   UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
11:53:53 PM  1000      2263     17.48      0.00 12400800  749648   4.76  firefox-bin
11:53:53 PM  1000      2402      0.97      0.00 2723484  248908   1.58  Privileged Cont
11:53:53 PM  1000      2470      4.85      0.00 2501060  132836   0.84  WebExtensions
11:53:53 PM  1000      2963    743.69      0.00 11699792  777272   4.93  Isolated Web Co
11:53:53 PM  1000      3003      0.97      0.00 2799964  314324   1.99  Isolated Web Co
11:53:53 PM  1000      4259     45.63      0.00 2779296  199252   1.26  Isolated Web Co
11:53:53 PM  1000      4626      2.91      0.00 2539960  136656   0.87  Isolated Web Co
11:53:53 PM  1000      4904      0.97      0.00 2501044  116452   0.74  Isolated Web Co
11:53:53 PM  1000      5014      2.91      0.00 2520504  129724   0.82  Isolated Web Co
11:53:53 PM  1000     35067      3.88      0.00 34291624   59576   0.38  chrome
11:53:53 PM  1000     35618      0.97      0.00 34035280   85752   0.54  chrome
11:53:53 PM  1000     49115     10.68      0.00 1461531824  191112   1.21  code
11:53:53 PM  1000     49179    271.84      0.00 34575988  178220   1.13  code
11:53:53 PM  1000     49183      4.85      0.00 33880256   74648   0.47  code
11:53:53 PM  1000     49237    294.17      0.00 1480185152  389832   2.47  code
11:53:53 PM  1000     49279    319.42      0.00 1461308524  115840   0.74  code
11:53:53 PM  1000     49295      9.71      0.00 1461300524  156400   0.99  code
11:53:53 PM  1000     49322      9.71      0.00 1461299592  113144   0.72  code
11:53:53 PM  1000     49323     47.57      0.00 1461316600  106952   0.68  code
11:53:53 PM  1000     49758   1938.83      0.00 3302968  884392   5.61  Isolated Web Co
11:53:53 PM  1000     57631      2.91      0.00   17356    5504   0.03  pidstat

11:53:52 PM   UID       PID   cswch/s nvcswch/s  Command
11:53:53 PM     0        16      2.91      0.00  ksoftirqd/0
11:53:53 PM     0        17    266.99      0.97  rcu_preempt
11:53:53 PM     0        18     14.56      0.00  migration/0
11:53:53 PM     0        23     33.98      0.00  migration/2
11:53:53 PM     0        24      1.94      0.00  ksoftirqd/2
11:53:53 PM     0        29     60.19      0.00  migration/4
11:53:53 PM     0        30      1.94      0.00  ksoftirqd/4
11:53:53 PM     0        35    106.80      0.00  migration/6
11:53:53 PM     0        41     59.22      0.00  migration/8
11:53:53 PM     0        47     91.26      0.00  migration/10
11:53:53 PM     0        53     34.95      0.00  migration/12
11:53:53 PM     0        59     39.81      0.00  migration/14
11:53:53 PM     0        65      2.91      0.00  migration/1
11:53:53 PM     0        66      0.97      0.00  ksoftirqd/1
11:53:53 PM     0        71      2.91      0.00  migration/3
11:53:53 PM     0        72      0.97      0.00  ksoftirqd/3
11:53:53 PM     0        77     10.68      0.00  migration/5
11:53:53 PM     0        83      5.83      0.00  migration/7
11:53:53 PM     0        89     39.81      0.00  migration/9
11:53:53 PM     0        95     35.92      0.00  migration/11
11:53:53 PM     0        96      0.97      0.00  ksoftirqd/11
11:53:53 PM     0       101      4.85      0.00  migration/13
11:53:53 PM     0       107     19.42      0.00  migration/15
11:53:53 PM     0       108      1.94      0.00  ksoftirqd/15
11:53:53 PM     0       119      1.94      0.00  kcompactd0
11:53:53 PM     0       150      0.97      0.00  kworker/7:1-mm_percpu_wq
11:53:53 PM     0       153      2.91      0.00  kworker/11:1-events
11:53:53 PM     0       195    119.42      0.97  irq/35-ACPI:Event
11:53:53 PM     0       247      1.94      0.00  kworker/6:1H-kblockd
11:53:53 PM     0       248      1.94      0.00  kworker/8:1H-kblockd
11:53:53 PM     0       249     13.59      0.00  kworker/12:1H-kblockd
11:53:53 PM     0       251      5.83      0.00  kworker/4:1H-kblockd
11:53:53 PM     0       257     40.78      1.94  kworker/15:1H-kblockd
11:53:53 PM     0       284    241.75      0.00  irq/40-ELAN1200:00
11:53:53 PM     0       367     96.12      4.85  jbd2/nvme0n1p7-8
11:53:53 PM   991       747      0.97      0.00  systemd-resolve
11:53:53 PM   110       774     28.16      0.00  avahi-daemon
11:53:53 PM     0       822     64.08      0.97  touchegg
11:53:53 PM     0       884    295.15      0.00  irq/84-rtw89_pci
11:53:53 PM     0       914     20.39      1.94  NetworkManager
11:53:53 PM     0      1242    858.25     44.66  Xorg
11:53:53 PM  1000      1501    188.35     31.07  pipewire-pulse
11:53:53 PM  1000      1750     22.33      2.91  csd-keyboard
11:53:53 PM  1000      1839    116.50      1.94  at-spi2-registr
11:53:53 PM  1000      1908    472.82     42.72  cinnamon
11:53:53 PM  1000      2104      9.71      0.00  blueman-tray
11:53:53 PM  1000      2263    153.40     13.59  firefox-bin
11:53:53 PM  1000      2352      0.97      0.00  Socket Process
11:53:53 PM  1000      2402     69.90      5.83  Privileged Cont
11:53:53 PM  1000      2470      7.77      0.97  WebExtensions
11:53:53 PM  1000      2570      2.91      1.94  Isolated Web Co
11:53:53 PM  1000      2836      0.97      0.00  Isolated Web Co
11:53:53 PM  1000      2963    152.43     15.53  Isolated Web Co
11:53:53 PM  1000      3003      1.94      0.97  Isolated Web Co
11:53:53 PM  1000      4259      3.88      0.00  Isolated Web Co
11:53:53 PM  1000      4311      0.97      0.00  Isolated Web Co
11:53:53 PM  1000      4436      0.97      0.00  Isolated Web Co
11:53:53 PM  1000      4439      0.97      0.97  Isolated Web Co
11:53:53 PM  1000      4446      0.97      0.00  Isolated Web Co
11:53:53 PM  1000      4536      1.94      1.94  Isolated Web Co
11:53:53 PM  1000      4589      1.94      1.94  Isolated Web Co
11:53:53 PM  1000      4605      1.94      0.00  Isolated Web Co
11:53:53 PM  1000      4626      0.97      0.00  Isolated Web Co
11:53:53 PM  1000      4637      0.97      0.00  Isolated Web Co
11:53:53 PM  1000      4650      0.97      0.00  Isolated Web Co
11:53:53 PM  1000      4764      3.88      0.00  Isolated Web Co
11:53:53 PM  1000      4803      0.97      0.00  Isolated Web Co
11:53:53 PM  1000      4809      0.97      0.00  Isolated Web Co
