Linux 6.8.0-51-generic (abhijeet-Vivobook) 	09/10/2025 	_x86_64_	(16 CPU)

11:54:07 PM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
11:54:08 PM     0        17    0.00    0.95    0.00    0.00    0.95     6  rcu_preempt
11:54:08 PM     0        35    0.00    0.95    0.00    0.00    0.95     6  migration/6
11:54:08 PM     0        53    0.00    0.95    0.00    0.00    0.95    12  migration/12
11:54:08 PM   110       774    0.95    0.00    0.00    0.00    0.95     8  avahi-daemon
11:54:08 PM     0       884    0.00    0.95    0.00    0.00    0.95    11  irq/84-rtw89_pci
11:54:08 PM     0      1242    3.81    4.76    0.00    0.00    8.57    15  Xorg
11:54:08 PM  1000      1497    0.95    0.00    0.00    0.00    0.95    12  pipewire
11:54:08 PM  1000      1501    0.00    0.95    0.00    0.00    0.95     4  pipewire-pulse
11:54:08 PM  1000      1908   10.48    2.86    0.00    0.00   13.33     6  cinnamon
11:54:08 PM  1000      2263    3.81    4.76    0.00    0.00    8.57     2  firefox-bin
11:54:08 PM  1000      2402    0.95    0.00    0.00    0.00    0.95     6  Privileged Cont
11:54:08 PM  1000      2570    1.90    0.95    0.00    0.00    2.86     3  Isolated Web Co
11:54:08 PM  1000      2963    3.81    1.90    0.00    0.95    5.71    13  Isolated Web Co
11:54:08 PM  1000      4764    0.95    0.00    0.00    0.00    0.95    12  Isolated Web Co
11:54:08 PM  1000     49115    0.95    0.00    0.00    0.00    0.95    14  code
11:54:08 PM  1000     49179   10.48    4.76    0.00    0.00   15.24    14  code
11:54:08 PM  1000     49237   17.14    1.90    0.00    0.00   19.05     8  code
11:54:08 PM  1000     49279    0.00    1.90    0.00    0.00    1.90    12  code
11:54:08 PM  1000     49295    0.95    0.00    0.00    0.00    0.95     6  code
11:54:08 PM  1000     49323   59.05   10.48    0.00    0.00   69.52    12  code
11:54:08 PM  1000     49758   12.38    0.95    0.00    0.00   13.33     1  Isolated Web Co
11:54:08 PM     0     51235    0.00    6.67    0.00    0.95    6.67    10  kworker/u32:0-ext4-rsv-conversion
11:54:08 PM     0     57649    0.00    4.76    0.00    0.00    4.76     4  kworker/u32:1+events_unbound
11:54:08 PM  1000     57697    0.00    2.86    0.00    0.00    2.86     1  pidstat
11:54:08 PM  1000     57698    0.95   87.62    0.00    0.00   88.57     6  sysbench

11:54:07 PM   UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
11:54:08 PM  1000      2263     15.24      0.00 12392576  752548   4.78  firefox-bin
11:54:08 PM  1000      2402      1.90      0.00 2723500  248448   1.58  Privileged Cont
11:54:08 PM  1000      2470      2.86      0.00 2501044  132964   0.84  WebExtensions
11:54:08 PM  1000      2570   1474.29      0.00 7944352  997196   6.33  Isolated Web Co
11:54:08 PM  1000      2839      2.86      0.00 2460080   78008   0.50  Isolated Servic
11:54:08 PM  1000      2963      2.86      0.00 11699792  784324   4.98  Isolated Web Co
11:54:08 PM  1000      3003      9.52      0.00 2799980  313816   1.99  Isolated Web Co
11:54:08 PM  1000      4311     24.76      0.00 2481056  107932   0.69  Isolated Web Co
11:54:08 PM  1000      4436     23.81      0.00 2485148  110780   0.70  Isolated Web Co
11:54:08 PM  1000      4446     24.76      0.00 2481028  109132   0.69  Isolated Web Co
11:54:08 PM  1000      4904      0.00      0.00 2501028  116452   0.74  Isolated Web Co
11:54:08 PM  1000      4914      0.95      0.00 2523004  139284   0.88  Isolated Web Co
11:54:08 PM  1000      5113      0.95      0.00 2581424  154400   0.98  Isolated Web Co
11:54:08 PM  1000      5165     24.76      0.00 2487708  113792   0.72  Isolated Web Co
11:54:08 PM  1000      5220     25.71      0.00 2482328  108996   0.69  Isolated Web Co
11:54:08 PM  1000      5469      0.95      0.00 2549176  142800   0.91  Isolated Web Co
11:54:08 PM  1000      5704     24.76      0.00 2481304  110972   0.70  Isolated Web Co
11:54:08 PM  1000     32073      0.95      0.00 2460576  100844   0.64  Isolated Web Co
11:54:08 PM  1000     32126     18.10      0.00 2463144  108888   0.69  Isolated Web Co
11:54:08 PM  1000     49115     12.38      0.00 1461531824  191240   1.21  code
11:54:08 PM  1000     49179    215.24      0.00 34569844  178344   1.13  code
11:54:08 PM  1000     49237    328.57      0.00 1480185088  387424   2.46  code
11:54:08 PM  1000     49279    460.00      0.00 1461308524  115780   0.73  code
11:54:08 PM  1000     49295     12.38      0.00 1461300524  156496   0.99  code
11:54:08 PM  1000     49322     10.48      0.00 1461299592  113136   0.72  code
11:54:08 PM  1000     49323     23.81      0.00 1461316600  106844   0.68  code
11:54:08 PM  1000     49758   1271.43      0.00 3283528  563916   3.58  Isolated Web Co
11:54:08 PM  1000     50048      1.90      0.00 1283801512   62420   0.40  chrome
11:54:08 PM  1000     57697      3.81      0.00   17496    5504   0.03  pidstat

11:54:07 PM   UID       PID   cswch/s nvcswch/s  Command
11:54:08 PM     0        16      1.90      0.00  ksoftirqd/0
11:54:08 PM     0        17    252.38      0.00  rcu_preempt
11:54:08 PM     0        18     20.00      0.00  migration/0
11:54:08 PM     0        23     25.71      0.00  migration/2
11:54:08 PM     0        24      0.95      0.00  ksoftirqd/2
11:54:08 PM     0        29     57.14      0.00  migration/4
11:54:08 PM     0        35     65.71      0.00  migration/6
11:54:08 PM     0        41     43.81      0.00  migration/8
11:54:08 PM     0        42      0.95      0.00  ksoftirqd/8
11:54:08 PM     0        47     81.90      0.00  migration/10
11:54:08 PM     0        48      0.95      0.95  ksoftirqd/10
11:54:08 PM     0        53     31.43      0.00  migration/12
11:54:08 PM     0        59     29.52      0.00  migration/14
11:54:08 PM     0        65      0.95      0.00  migration/1
11:54:08 PM     0        71      7.62      0.00  migration/3
11:54:08 PM     0        77      7.62      0.00  migration/5
11:54:08 PM     0        83      4.76      0.00  migration/7
11:54:08 PM     0        89     30.48      0.00  migration/9
11:54:08 PM     0        95      6.67      0.00  migration/11
11:54:08 PM     0       101      7.62      0.00  migration/13
11:54:08 PM     0       107     10.48      0.00  migration/15
11:54:08 PM     0       119      1.90      0.00  kcompactd0
11:54:08 PM     0       150      0.95      0.00  kworker/7:1-mm_percpu_wq
11:54:08 PM     0       153      0.95      0.00  kworker/11:1-mm_percpu_wq
11:54:08 PM     0       227     19.05      0.00  kworker/0:1H-kblockd
11:54:08 PM     0       251      0.95      0.00  kworker/4:1H-kblockd
11:54:08 PM     0       252     17.14      0.00  kworker/2:1H-kblockd
11:54:08 PM     0       255      5.71      0.00  kworker/10:1H-kblockd
11:54:08 PM     0       367     62.86      0.95  jbd2/nvme0n1p7-8
11:54:08 PM   110       774     21.90      0.95  avahi-daemon
11:54:08 PM   101       778      0.95      0.00  dbus-daemon
11:54:08 PM     0       884    120.95      0.00  irq/84-rtw89_pci
11:54:08 PM     0       914     34.29      0.95  NetworkManager
11:54:08 PM     0       919      0.95      0.00  wpa_supplicant
11:54:08 PM     0      1242    695.24     20.95  Xorg
11:54:08 PM  1000      1501    188.57     12.38  pipewire-pulse
11:54:08 PM  1000      1908    369.52     34.29  cinnamon
11:54:08 PM  1000      1974      0.95      0.95  blueman-applet
11:54:08 PM  1000      2104      9.52      0.00  blueman-tray
11:54:08 PM  1000      2263     44.76      8.57  firefox-bin
11:54:08 PM  1000      2352      0.95      0.00  Socket Process
11:54:08 PM  1000      2402     69.52      2.86  Privileged Cont
11:54:08 PM  1000      2470     12.38      3.81  WebExtensions
11:54:08 PM  1000      2570      0.95      6.67  Isolated Web Co
11:54:08 PM  1000      2836      4.76      1.90  Isolated Web Co
11:54:08 PM  1000      2963    149.52     13.33  Isolated Web Co
11:54:08 PM  1000      3003      4.76      2.86  Isolated Web Co
11:54:08 PM  1000      4259      3.81      0.00  Isolated Web Co
11:54:08 PM  1000      4311      3.81      0.00  Isolated Web Co
11:54:08 PM  1000      4436      3.81      0.00  Isolated Web Co
11:54:08 PM  1000      4439      0.95      0.00  Isolated Web Co
11:54:08 PM  1000      4446      3.81      0.00  Isolated Web Co
11:54:08 PM  1000      4536      0.95      0.00  Isolated Web Co
11:54:08 PM  1000      4589      1.90      0.95  Isolated Web Co
11:54:08 PM  1000      4605      0.95      0.00  Isolated Web Co
11:54:08 PM  1000      4626      0.95      0.00  Isolated Web Co
11:54:08 PM  1000      4637      1.90      0.00  Isolated Web Co
11:54:08 PM  1000      4650      0.95      1.90  Isolated Web Co
11:54:08 PM  1000      4764      0.95      0.00  Isolated Web Co
11:54:08 PM  1000      4803      0.95      0.00  Isolated Web Co
11:54:08 PM  1000      4809      0.95      2.86  Isolated Web Co
11:54:08 PM  1000      4869      0.95      0.00  Isolated Web Co
11:54:08 PM  1000      4904      3.81      0.00  Isolated Web Co
11:54:08 PM  1000      4907      0.95      0.00  Isolated Web Co
11:54:08 PM  1000      4914      3.81      0.95  Isolated Web Co
11:54:08 PM  1000      5011      0.95      0.00  Isolated Web Co
11:54:08 PM  1000      5014      0.95      0.00  Isolated Web Co
11:54:08 PM  1000      5113      0.95      0.00  Isolated Web Co
11:54:08 PM  1000      5165      3.81      0.00  Isolated Web Co
11:54:08 PM  1000      5180      0.95      0.00  Isolated Web Co
11:54:08 PM  1000      5220      3.81      0.00  Isolated Web Co
11:54:08 PM  1000      5273      0.95      0.00  Isolated Web Co
11:54:08 PM  1000      5469      0.95      0.00  Isolated Web Co
11:54:08 PM  1000      5546      0.95      0.00  Isolated Web Co
11:54:08 PM  1000      5549      0.95      0.00  Isolated Web Co
11:54:08 PM  1000      5646      1.90      0.00  Isolated Web Co
11:54:08 PM  1000      5704      3.81      0.00  Isolated Web Co
11:54:08 PM     0     22875      1.90      0.00  kworker/5:1-mm_percpu_wq
11:54:08 PM     0     27141      0.95      0.00  kworker/12:0-mm_percpu_wq
