Linux 6.8.0-51-generic (abhijeet-Vivobook) 	09/10/2025 	_x86_64_	(16 CPU)

11:53:17 PM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
11:53:18 PM     0      1242    1.96    1.96    0.00    0.00    3.92     9  Xorg
11:53:18 PM  1000      1497    0.00    0.98    0.00    0.00    0.98    12  pipewire
11:53:18 PM  1000      1908    3.92    1.96    0.00    8.82    5.88     9  cinnamon
11:53:18 PM  1000      2263    2.94    2.94    0.00    1.96    5.88     8  firefox-bin
11:53:18 PM  1000      2402    0.00    0.98    0.00    0.00    0.98     7  Privileged Cont
11:53:18 PM  1000      2963    2.94    0.98    0.00    0.98    3.92    13  Isolated Web Co
11:53:18 PM  1000      3003    0.98    0.00    0.00    0.98    0.98    11  Isolated Web Co
11:53:18 PM  1000      4589    0.98    0.00    0.00    0.00    0.98     7  Isolated Web Co
11:53:18 PM  1000      4803    0.98    0.00    0.00    0.00    0.98     5  Isolated Web Co
11:53:18 PM  1000     32169    0.98    0.00    0.00    0.98    0.98     7  Isolated Web Co
11:53:18 PM     0     48072    0.00    0.98    0.00    0.00    0.98    11  kworker/u32:3-gfx_low
11:53:18 PM  1000     49115    0.98    0.00    0.00    0.00    0.98    15  code
11:53:18 PM  1000     49179    3.92    1.96    0.00    5.88    5.88     9  code
11:53:18 PM  1000     49237    6.86    0.98    0.00    5.88    7.84    14  code
11:53:18 PM  1000     49279    0.98    0.98    0.00    0.98    1.96     1  code
11:53:18 PM  1000     49295    0.98    0.00    0.00    0.00    0.98    11  code
11:53:18 PM  1000     49323    0.98    0.00    0.00    0.00    0.98     2  code
11:53:18 PM  1000     49758    6.86    0.98    0.00    8.82    7.84    13  Isolated Web Co
11:53:18 PM     0     56192    0.00    0.98    0.00    0.98    0.98     5  kworker/u32:4-gfx_low
11:53:18 PM  1000     57413    0.98    1.96    0.00    2.94    2.94     0  pidstat
11:53:18 PM  1000     57414 1598.04    0.98    0.00    0.00 1599.02    12  sysbench
11:53:18 PM  1000     57434    0.00    0.98    0.00    2.94    0.98     3  ps

11:53:17 PM   UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
11:53:18 PM  1000      2263     24.51      0.00 12389480  738272   4.69  firefox-bin
11:53:18 PM  1000      2963    647.06      0.00 11699792  772876   4.91  Isolated Web Co
11:53:18 PM  1000      3003     27.45      0.00 2799980  313972   1.99  Isolated Web Co
11:53:18 PM  1000      4536      3.92      0.00 2674512  196904   1.25  Isolated Web Co
11:53:18 PM  1000      4589      2.94      0.00 2907064  303588   1.93  Isolated Web Co
11:53:18 PM  1000      4637      3.92      0.00 2547588  138824   0.88  Isolated Web Co
11:53:18 PM  1000      5113      0.98      0.00 2581424  154144   0.98  Isolated Web Co
11:53:18 PM  1000      5469      0.98      0.00 2549176  143176   0.91  Isolated Web Co
11:53:18 PM  1000      5549      0.00      0.00 2489792  122708   0.78  Isolated Web Co
11:53:18 PM  1000     35005      1.96      0.00 34324576  363904   2.31  chrome
11:53:18 PM  1000     35067      3.92      0.00 34291624   59576   0.38  chrome
11:53:18 PM  1000     49115      0.98      0.00 1461531824  191128   1.21  code
11:53:18 PM  1000     49179    510.78      0.00 34572980  178040   1.13  code
11:53:18 PM  1000     49237    179.41      0.00 1480184128  389020   2.47  code
11:53:18 PM  1000     49279    526.47      0.00 1461308524  116392   0.74  code
11:53:18 PM  1000     49295     71.57      0.00 1461300524  156548   0.99  code
11:53:18 PM  1000     49322     10.78      0.00 1461299592  113144   0.72  code
11:53:18 PM  1000     49758    175.49      0.00 3265828  553704   3.51  Isolated Web Co
11:53:18 PM  1000     57413      2.94      0.00   17356    5632   0.04  pidstat
11:53:18 PM  1000     57433    119.61      0.00    2800    1536   0.01  sh
11:53:18 PM  1000     57434    446.08      0.00   19416    4480   0.03  ps

11:53:17 PM   UID       PID   cswch/s nvcswch/s  Command
11:53:18 PM     0        16      0.98      0.00  ksoftirqd/0
11:53:18 PM     0        17    275.49      0.00  rcu_preempt
11:53:18 PM     0        42      1.96      0.00  ksoftirqd/8
11:53:18 PM     0        48      1.96      0.98  ksoftirqd/10
11:53:18 PM     0        66      0.98      0.00  ksoftirqd/1
11:53:18 PM     0        71      0.98      0.00  migration/3
11:53:18 PM     0        72      0.98      0.00  ksoftirqd/3
11:53:18 PM     0       108      0.98      0.00  ksoftirqd/15
11:53:18 PM     0       119      1.96      0.00  kcompactd0
11:53:18 PM     0       150      0.98      0.00  kworker/7:1-mm_percpu_wq
11:53:18 PM     0       153      0.98      0.00  kworker/11:1-mm_percpu_wq
11:53:18 PM   110       774     33.33      5.88  avahi-daemon
11:53:18 PM     0       822     13.73      0.00  touchegg
11:53:18 PM     0       884     85.29      0.00  irq/84-rtw89_pci
11:53:18 PM     0       914     36.27      0.00  NetworkManager
11:53:18 PM     0      1242    836.27     92.16  Xorg
11:53:18 PM  1000      1501    200.98      0.00  pipewire-pulse
11:53:18 PM  1000      1908    201.96    267.65  cinnamon
11:53:18 PM  1000      2104     10.78      0.00  blueman-tray
11:53:18 PM  1000      2263     94.12     12.75  firefox-bin
11:53:18 PM  1000      2352      0.98      0.00  Socket Process
11:53:18 PM  1000      2402    160.78      0.00  Privileged Cont
11:53:18 PM  1000      2470     10.78      0.98  WebExtensions
11:53:18 PM  1000      2570      5.88      0.00  Isolated Web Co
11:53:18 PM  1000      2836      0.98      0.00  Isolated Web Co
11:53:18 PM  1000      2963    192.16     14.71  Isolated Web Co
11:53:18 PM  1000      3003      3.92      7.84  Isolated Web Co
11:53:18 PM  1000      4259      0.98      0.00  Isolated Web Co
11:53:18 PM  1000      4311      0.98      0.00  Isolated Web Co
11:53:18 PM  1000      4436      0.98      0.00  Isolated Web Co
11:53:18 PM  1000      4439      0.98      0.00  Isolated Web Co
11:53:18 PM  1000      4446      0.98      1.96  Isolated Web Co
11:53:18 PM  1000      4536      4.90      0.00  Isolated Web Co
11:53:18 PM  1000      4589      4.90      1.96  Isolated Web Co
11:53:18 PM  1000      4605      0.98      0.00  Isolated Web Co
11:53:18 PM  1000      4626      0.98      0.00  Isolated Web Co
11:53:18 PM  1000      4637      0.98      0.00  Isolated Web Co
11:53:18 PM  1000      4650      1.96      0.00  Isolated Web Co
11:53:18 PM  1000      4764      0.98      0.00  Isolated Web Co
11:53:18 PM  1000      4803      0.98      0.98  Isolated Web Co
11:53:18 PM  1000      4809      0.98      0.00  Isolated Web Co
11:53:18 PM  1000      4869      0.98      0.00  Isolated Web Co
11:53:18 PM  1000      4904      0.98      0.00  Isolated Web Co
11:53:18 PM  1000      4907      0.98      0.00  Isolated Web Co
11:53:18 PM  1000      4914      0.98      0.00  Isolated Web Co
11:53:18 PM  1000      5011      0.98      1.96  Isolated Web Co
11:53:18 PM  1000      5014      0.98      0.00  Isolated Web Co
11:53:18 PM  1000      5113      0.98      0.00  Isolated Web Co
11:53:18 PM  1000      5165      0.98      1.96  Isolated Web Co
11:53:18 PM  1000      5180      0.98      0.98  Isolated Web Co
11:53:18 PM  1000      5220      0.98      0.00  Isolated Web Co
11:53:18 PM  1000      5273      0.98      0.00  Isolated Web Co
11:53:18 PM  1000      5469      0.98      0.00  Isolated Web Co
11:53:18 PM  1000      5546      0.98      0.00  Isolated Web Co
11:53:18 PM  1000      5549      3.92      0.00  Isolated Web Co
11:53:18 PM  1000      5646      0.98      0.00  Isolated Web Co
11:53:18 PM  1000      5704      0.98      0.00  Isolated Web Co
11:53:18 PM     0     22875      0.98      0.00  kworker/5:1-mm_percpu_wq
11:53:18 PM     0     27141      1.96      0.00  kworker/12:0-events
11:53:18 PM     0     30134      0.98      0.00  kworker/6:0-mm_percpu_wq
11:53:18 PM  1000     32073      3.92      0.00  Isolated Web Co
