Linux 6.8.0-51-generic (abhijeet-Vivobook) 	09/10/2025 	_x86_64_	(16 CPU)

11:52:44 PM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
11:52:45 PM     0        17    0.00    0.98    0.00    0.00    0.98    10  rcu_preempt
11:52:45 PM     0       884    0.00    0.98    0.00    0.00    0.98    11  irq/84-rtw89_pci
11:52:45 PM     0      1242    1.96    1.96    0.00    0.00    3.92     0  Xorg
11:52:45 PM  1000      1501    0.00    0.98    0.00    0.00    0.98     4  pipewire-pulse
11:52:45 PM  1000      1908    7.84    0.98    0.00    0.00    8.82    14  cinnamon
11:52:45 PM  1000      2263    4.90    2.94    0.00    0.00    7.84    10  firefox-bin
11:52:45 PM  1000      2402    0.98    0.00    0.00    0.00    0.98     8  Privileged Cont
11:52:45 PM  1000      2470    0.98    0.00    0.00    0.00    0.98     4  WebExtensions
11:52:45 PM  1000      2570    1.96    0.98    0.00    0.00    2.94    13  Isolated Web Co
11:52:45 PM  1000      2839    0.98    0.00    0.00    0.00    0.98     9  Isolated Servic
11:52:45 PM  1000      2963    1.96    0.98    0.00    0.00    2.94     4  Isolated Web Co
11:52:45 PM  1000      3003    2.94    0.98    0.00    0.00    3.92     0  Isolated Web Co
11:52:45 PM  1000      4259    1.96    0.98    0.00    0.00    2.94    12  Isolated Web Co
11:52:45 PM  1000      4536    0.98    0.00    0.00    0.00    0.98     8  Isolated Web Co
11:52:45 PM  1000      4589    0.00    0.98    0.00    0.00    0.98    14  Isolated Web Co
11:52:45 PM  1000      4605    0.00    0.98    0.00    0.00    0.98    14  Isolated Web Co
11:52:45 PM  1000      4626    0.98    0.98    0.00    0.00    1.96     8  Isolated Web Co
11:52:45 PM  1000      5014    0.98    0.98    0.00    0.00    1.96     6  Isolated Web Co
11:52:45 PM  1000      5220    0.98    0.00    0.00    0.00    0.98     6  Isolated Web Co
11:52:45 PM  1000     49115    0.98    0.00    0.00    0.00    0.98     6  code
11:52:45 PM  1000     49179    5.88    1.96    0.00    0.00    7.84    14  code
11:52:45 PM  1000     49237   26.47    0.98    0.00    0.00   27.45     0  code
11:52:45 PM  1000     49295    0.00    0.98    0.00    0.00    0.98    10  code
11:52:45 PM  1000     49758    3.92    0.00    0.00    0.00    3.92     4  Isolated Web Co
11:52:45 PM     0     53138    0.00    1.96    0.00    0.00    1.96    10  kworker/u32:2+events_unbound
11:52:45 PM  1000     57197    0.00    1.96    0.00    0.00    1.96     1  pidstat
11:52:45 PM  1000     57198  100.00    0.00    0.00    0.00  100.00     2  sysbench

11:52:44 PM   UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
11:52:45 PM  1000      1908      3.92      0.00 5279180  262100   1.66  cinnamon
11:52:45 PM  1000      2263     27.45      0.00 12393560  741244   4.70  firefox-bin
11:52:45 PM  1000      2470      5.88      0.00 2501060  133728   0.85  WebExtensions
11:52:45 PM  1000      2570    813.73      0.00 7944352  993508   6.31  Isolated Web Co
11:52:45 PM  1000      2839      8.82      0.00 2460064   78008   0.50  Isolated Servic
11:52:45 PM  1000      2963      1.96      0.00 11694672  766820   4.87  Isolated Web Co
11:52:45 PM  1000      3003   2032.35      0.00 2799964  315344   2.00  Isolated Web Co
11:52:45 PM  1000      4259    808.82      0.00 2779296  199140   1.26  Isolated Web Co
11:52:45 PM  1000      4536      1.96      0.00 2674496  196820   1.25  Isolated Web Co
11:52:45 PM  1000      4605     45.10      0.00 2529568  126528   0.80  Isolated Web Co
11:52:45 PM  1000      4626     54.90      0.00 2539960  136696   0.87  Isolated Web Co
11:52:45 PM  1000      4650      0.98      0.00 2570404  149464   0.95  Isolated Web Co
11:52:45 PM  1000      4764      0.98      0.00 2568988  146176   0.93  Isolated Web Co
11:52:45 PM  1000      4869      1.96      0.00 2516492  123992   0.79  Isolated Web Co
11:52:45 PM  1000      5014     46.08      0.00 2520504  129468   0.82  Isolated Web Co
11:52:45 PM  1000      5113      0.98      0.00 2581408  154100   0.98  Isolated Web Co
11:52:45 PM  1000      5165      0.98      0.00 2487708  113936   0.72  Isolated Web Co
11:52:45 PM  1000     35618      0.98      0.00 34035280   85752   0.54  chrome
11:52:45 PM  1000     49115      6.86      0.00 1461531824  191268   1.21  code
11:52:45 PM  1000     49179    303.92      0.00 34572980  178248   1.13  code
11:52:45 PM  1000     49237    389.22      0.00 1480184128  383956   2.44  code
11:52:45 PM  1000     49279    272.55      0.00 1461308524  115652   0.73  code
11:52:45 PM  1000     49322      9.80      0.00 1461299592  113148   0.72  code
11:52:45 PM  1000     49323      1.96      0.00 1461316600  106992   0.68  code
11:52:45 PM  1000     49758     26.47      0.00 3263796  550540   3.49  Isolated Web Co
11:52:45 PM  1000     57197      2.94      0.00   17356    5632   0.04  pidstat

11:52:44 PM   UID       PID   cswch/s nvcswch/s  Command
11:52:45 PM     0        16      2.94      0.00  ksoftirqd/0
11:52:45 PM     0        17    243.14      0.98  rcu_preempt
11:52:45 PM     0        18      9.80      0.00  migration/0
11:52:45 PM     0        23      3.92      0.00  migration/2
11:52:45 PM     0        29     37.25      0.00  migration/4
11:52:45 PM     0        35     17.65      0.00  migration/6
11:52:45 PM     0        41     14.71      0.00  migration/8
11:52:45 PM     0        42      1.96      0.00  ksoftirqd/8
11:52:45 PM     0        47     28.43      0.00  migration/10
11:52:45 PM     0        48      0.98      0.00  ksoftirqd/10
11:52:45 PM     0        53      9.80      0.00  migration/12
11:52:45 PM     0        59     17.65      0.00  migration/14
11:52:45 PM     0        65      1.96      0.00  migration/1
11:52:45 PM     0        66      6.86      0.00  ksoftirqd/1
11:52:45 PM     0        71      0.98      0.00  migration/3
11:52:45 PM     0        77      1.96      0.00  migration/5
11:52:45 PM     0        83      2.94      0.00  migration/7
11:52:45 PM     0        89     15.69      0.00  migration/9
11:52:45 PM     0        95     10.78      0.00  migration/11
11:52:45 PM     0        96      0.98      0.00  ksoftirqd/11
11:52:45 PM     0       101      1.96      0.00  migration/13
11:52:45 PM     0       107      1.96      0.00  migration/15
11:52:45 PM     0       119      1.96      0.00  kcompactd0
11:52:45 PM     0       150      0.98      0.00  kworker/7:1-mm_percpu_wq
11:52:45 PM     0       153      3.92      0.00  kworker/11:1-events
11:52:45 PM   110       774     27.45      0.00  avahi-daemon
11:52:45 PM     0       822      9.80      0.00  touchegg
11:52:45 PM     0       884    102.94      0.00  irq/84-rtw89_pci
11:52:45 PM     0       914     18.63      0.00  NetworkManager
11:52:45 PM     0      1242    700.00      6.86  Xorg
11:52:45 PM  1000      1501    189.22     17.65  pipewire-pulse
11:52:45 PM  1000      1908    367.65     12.75  cinnamon
11:52:45 PM  1000      2104     10.78      0.00  blueman-tray
11:52:45 PM  1000      2263     84.31      3.92  firefox-bin
11:52:45 PM  1000      2402     71.57      1.96  Privileged Cont
11:52:45 PM  1000      2470     11.76      0.00  WebExtensions
11:52:45 PM  1000      2570     18.63      3.92  Isolated Web Co
11:52:45 PM  1000      2836      2.94      0.00  Isolated Web Co
11:52:45 PM  1000      2839     28.43      0.98  Isolated Servic
11:52:45 PM  1000      2963    148.04      8.82  Isolated Web Co
11:52:45 PM  1000      3003     10.78      0.00  Isolated Web Co
11:52:45 PM  1000      4259      6.86      4.90  Isolated Web Co
11:52:45 PM  1000      4311      0.98      0.00  Isolated Web Co
11:52:45 PM  1000      4436      0.98      0.00  Isolated Web Co
11:52:45 PM  1000      4439      0.98      0.00  Isolated Web Co
11:52:45 PM  1000      4446      0.98      0.00  Isolated Web Co
11:52:45 PM  1000      4536      0.98      0.00  Isolated Web Co
11:52:45 PM  1000      4589      0.98      0.98  Isolated Web Co
11:52:45 PM  1000      4605      1.96      0.00  Isolated Web Co
11:52:45 PM  1000      4626      4.90      0.00  Isolated Web Co
11:52:45 PM  1000      4637      0.98      0.00  Isolated Web Co
11:52:45 PM  1000      4650      0.98      0.00  Isolated Web Co
11:52:45 PM  1000      4764      0.98      0.00  Isolated Web Co
11:52:45 PM  1000      4803      0.98      0.00  Isolated Web Co
11:52:45 PM  1000      4809      0.98      0.00  Isolated Web Co
11:52:45 PM  1000      4869      0.98      0.00  Isolated Web Co
11:52:45 PM  1000      4904      0.98      0.00  Isolated Web Co
11:52:45 PM  1000      4907      0.98      0.00  Isolated Web Co
11:52:45 PM  1000      4914      1.96      0.00  Isolated Web Co
11:52:45 PM  1000      5011      0.98      0.98  Isolated Web Co
11:52:45 PM  1000      5014      0.98      0.00  Isolated Web Co
11:52:45 PM  1000      5020      0.98      0.00  Isolated Web Co
11:52:45 PM  1000      5113      0.98      0.00  Isolated Web Co
11:52:45 PM  1000      5165      1.96      0.00  Isolated Web Co
11:52:45 PM  1000      5180      0.98      0.00  Isolated Web Co
11:52:45 PM  1000      5220      0.98      0.00  Isolated Web Co
11:52:45 PM  1000      5273      0.98      0.00  Isolated Web Co
11:52:45 PM  1000      5469      0.98      0.00  Isolated Web Co
11:52:45 PM  1000      5546      0.98      0.00  Isolated Web Co
11:52:45 PM  1000      5549      1.96      0.00  Isolated Web Co
11:52:45 PM  1000      5646      0.98      0.00  Isolated Web Co
11:52:45 PM  1000      5704      0.98      0.00  Isolated Web Co
11:52:45 PM     0     22875      3.92      0.00  kworker/5:1-events
11:52:45 PM     0     27141      1.96      0.00  kworker/12:0-mm_percpu_wq
11:52:45 PM     0     30134      1.96      0.00  kworker/6:0-events
11:52:45 PM  1000     32073      3.92      0.00  Isolated Web Co
11:52:45 PM  1000     32126      0.98      0.00  Isolated Web Co
11:52:45 PM  1000     32169      3.92      0.00  Isolated Web Co
11:52:45 PM  1000     35005      1.96      0.00  chrome
