Linux 6.8.0-51-generic (abhijeet-Vivobook) 	09/10/2025 	_x86_64_	(16 CPU)

11:52:54 PM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
11:52:55 PM     0        17    0.00    0.98    0.00    0.00    0.98    11  rcu_preempt
11:52:55 PM     0       884    0.00    0.98    0.00    0.00    0.98    11  irq/84-rtw89_pci
11:52:55 PM     0      1242    1.96    2.94    0.00    0.00    4.90     9  Xorg
11:52:55 PM  1000      1501    0.00    0.98    0.00    0.00    0.98    14  pipewire-pulse
11:52:55 PM  1000      1908    6.86    1.96    0.00    0.00    8.82     6  cinnamon
11:52:55 PM  1000      2104    0.00    0.98    0.00    0.00    0.98    13  blueman-tray
11:52:55 PM  1000      2263    3.92    1.96    0.00    0.00    5.88    10  firefox-bin
11:52:55 PM  1000      2402    0.98    0.98    0.00    0.00    1.96     4  Privileged Cont
11:52:55 PM  1000      2963    1.96    0.98    0.00    0.00    2.94    14  Isolated Web Co
11:52:55 PM  1000      4536    0.98    0.00    0.00    0.00    0.98     6  Isolated Web Co
11:52:55 PM  1000      5014    0.98    0.00    0.00    0.00    0.98     8  Isolated Web Co
11:52:55 PM  1000      5646    0.98    0.98    0.00    0.00    1.96     8  Isolated Web Co
11:52:55 PM  1000     35005    0.98    0.00    0.00    0.00    0.98     4  chrome
11:52:55 PM  1000     49115    0.98    0.98    0.00    0.00    1.96     8  code
11:52:55 PM  1000     49179    4.90    1.96    0.00    0.00    6.86    14  code
11:52:55 PM  1000     49237    7.84    0.98    0.00    0.00    8.82     6  code
11:52:55 PM  1000     49279    0.98    0.98    0.00    0.00    1.96     1  code
11:52:55 PM  1000     49758    3.92    0.00    0.00    0.00    3.92     1  Isolated Web Co
11:52:55 PM     0     56192    0.00    0.98    0.00    0.00    0.98    13  kworker/u32:4-gfx_low
11:52:55 PM  1000     57254    0.00    1.96    0.00    0.00    1.96     3  pidstat
11:52:55 PM  1000     57255  199.02    0.00    0.00    0.00  199.02    15  sysbench

11:52:54 PM   UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
11:52:55 PM  1000      1908      6.86      0.00 5279180  262100   1.66  cinnamon
11:52:55 PM  1000      2263     11.76      0.00 12393560  741808   4.71  firefox-bin
11:52:55 PM  1000      2470      1.96      0.00 2501060  133728   0.85  WebExtensions
11:52:55 PM  1000      2839      7.84      0.00 2460080   78008   0.50  Isolated Servic
11:52:55 PM  1000      3003      1.96      0.00 2799964  313560   1.99  Isolated Web Co
11:52:55 PM  1000      4803     11.76      0.00 2511112  122204   0.78  Isolated Web Co
11:52:55 PM  1000      4869     11.76      0.00 2516492  123992   0.79  Isolated Web Co
11:52:55 PM  1000      5113      0.98      0.00 2581424  154016   0.98  Isolated Web Co
11:52:55 PM  1000      5469      0.98      0.00 2549160  142792   0.91  Isolated Web Co
11:52:55 PM  1000      5646     44.12      0.00 2513048  123996   0.79  Isolated Web Co
11:52:55 PM  1000     32126      0.00      0.00 2463144  109084   0.69  Isolated Web Co
11:52:55 PM  1000     35005    233.33      0.00 34324576  364728   2.31  chrome
11:52:55 PM  1000     35050     88.24      0.00 34734236  274280   1.74  chrome
11:52:55 PM  1000     35051     13.73      0.00 34064912  131292   0.83  chrome
11:52:55 PM  1000     35182    568.63      0.00 1285630640  146352   0.93  chrome
11:52:55 PM  1000     49115      8.82      0.00 1461531824  191396   1.21  code
11:52:55 PM  1000     49179    499.02      0.00 34572980  178376   1.13  code
11:52:55 PM  1000     49237    273.53      0.00 1480184128  384560   2.44  code
11:52:55 PM  1000     49279    777.45      0.00 1461308524  116420   0.74  code
11:52:55 PM  1000     49295     11.76      0.00 1461300524  156300   0.99  code
11:52:55 PM  1000     49322     19.61      0.00 1461299592  113148   0.72  code
11:52:55 PM  1000     49323      0.98      0.00 1461316600  106992   0.68  code
11:52:55 PM  1000     49758     17.65      0.00 3265844  554076   3.52  Isolated Web Co
11:52:55 PM  1000     57254      2.94      0.00   17356    5632   0.04  pidstat

11:52:54 PM   UID       PID   cswch/s nvcswch/s  Command
11:52:55 PM     0        16      2.94      0.00  ksoftirqd/0
11:52:55 PM     0        17    232.35      0.00  rcu_preempt
11:52:55 PM     0        18      8.82      0.00  migration/0
11:52:55 PM     0        23      0.98      0.00  migration/2
11:52:55 PM     0        29     16.67      0.00  migration/4
11:52:55 PM     0        35     38.24      0.00  migration/6
11:52:55 PM     0        36      0.98      0.00  ksoftirqd/6
11:52:55 PM     0        41     26.47      0.00  migration/8
11:52:55 PM     0        47     20.59      0.00  migration/10
11:52:55 PM     0        53     12.75      0.00  migration/12
11:52:55 PM     0        59      7.84      0.00  migration/14
11:52:55 PM     0        72      0.98      0.00  ksoftirqd/3
11:52:55 PM     0        77      7.84      0.00  migration/5
11:52:55 PM     0        83      1.96      0.00  migration/7
11:52:55 PM     0        89      2.94      0.00  migration/9
11:52:55 PM     0        95      5.88      0.00  migration/11
11:52:55 PM     0       101      1.96      0.00  migration/13
11:52:55 PM     0       107      0.98      0.00  migration/15
11:52:55 PM     0       119      1.96      0.00  kcompactd0
11:52:55 PM     0       153     12.75      0.00  kworker/11:1-mld
11:52:55 PM   110       774     50.98      0.00  avahi-daemon
11:52:55 PM     0       822      6.86      0.00  touchegg
11:52:55 PM     0       884    119.61      0.00  irq/84-rtw89_pci
11:52:55 PM     0       914     20.59      0.00  NetworkManager
11:52:55 PM     0      1242    728.43      7.84  Xorg
11:52:55 PM  1000      1501    187.25      2.94  pipewire-pulse
11:52:55 PM  1000      1908    369.61     17.65  cinnamon
11:52:55 PM  1000      2104      9.80      0.00  blueman-tray
11:52:55 PM  1000      2263     60.78      0.00  firefox-bin
11:52:55 PM  1000      2352      1.96      0.00  Socket Process
11:52:55 PM  1000      2402     69.61      0.98  Privileged Cont
11:52:55 PM  1000      2470      7.84      0.00  WebExtensions
11:52:55 PM  1000      2570      2.94      0.00  Isolated Web Co
11:52:55 PM  1000      2836      2.94      0.00  Isolated Web Co
11:52:55 PM  1000      2839     30.39      1.96  Isolated Servic
11:52:55 PM  1000      2963    152.94      4.90  Isolated Web Co
11:52:55 PM  1000      3003      5.88      0.00  Isolated Web Co
11:52:55 PM  1000      4259      3.92      0.00  Isolated Web Co
11:52:55 PM  1000      4311      0.98      0.00  Isolated Web Co
11:52:55 PM  1000      4436      0.98      0.00  Isolated Web Co
11:52:55 PM  1000      4439      0.98      0.00  Isolated Web Co
11:52:55 PM  1000      4446      0.98      0.00  Isolated Web Co
11:52:55 PM  1000      4536      1.96      0.98  Isolated Web Co
11:52:55 PM  1000      4589      1.96      1.96  Isolated Web Co
11:52:55 PM  1000      4605      0.98      0.00  Isolated Web Co
11:52:55 PM  1000      4626      0.98      0.00  Isolated Web Co
11:52:55 PM  1000      4637      0.98      0.00  Isolated Web Co
11:52:55 PM  1000      4650      0.98      0.00  Isolated Web Co
11:52:55 PM  1000      4764      0.98      1.96  Isolated Web Co
11:52:55 PM  1000      4803      0.98      0.00  Isolated Web Co
11:52:55 PM  1000      4809      0.98      0.00  Isolated Web Co
11:52:55 PM  1000      4869      0.98      0.00  Isolated Web Co
11:52:55 PM  1000      4904      0.98      0.00  Isolated Web Co
11:52:55 PM  1000      4907      0.98      0.00  Isolated Web Co
11:52:55 PM  1000      4914      0.98      0.00  Isolated Web Co
11:52:55 PM  1000      5011      0.98      0.00  Isolated Web Co
11:52:55 PM  1000      5014      0.98      0.00  Isolated Web Co
11:52:55 PM  1000      5113      0.98      0.00  Isolated Web Co
11:52:55 PM  1000      5165      0.98      0.00  Isolated Web Co
11:52:55 PM  1000      5180      0.98      0.00  Isolated Web Co
11:52:55 PM  1000      5220      0.98      0.00  Isolated Web Co
11:52:55 PM  1000      5273      0.98      0.00  Isolated Web Co
11:52:55 PM  1000      5469      0.98      0.00  Isolated Web Co
11:52:55 PM  1000      5546      0.98      0.00  Isolated Web Co
11:52:55 PM  1000      5549      1.96      0.00  Isolated Web Co
11:52:55 PM  1000      5646      1.96      0.00  Isolated Web Co
11:52:55 PM  1000      5704      0.98      0.00  Isolated Web Co
