Linux 6.8.0-51-generic (abhijeet-Vivobook) 	09/10/2025 	_x86_64_	(16 CPU)

11:53:04 PM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
11:53:05 PM   110       774    0.98    0.00    0.00    0.00    0.98     5  avahi-daemon
11:53:05 PM     0       884    0.00    0.98    0.00    0.00    0.98    11  irq/84-rtw89_pci
11:53:05 PM     0      1242    0.98    1.96    0.00    0.00    2.94     6  Xorg
11:53:05 PM  1000      1497    0.00    0.98    0.00    0.00    0.98    12  pipewire
11:53:05 PM  1000      1501    0.00    0.98    0.00    0.00    0.98     1  pipewire-pulse
11:53:05 PM  1000      1908    6.86    0.98    0.00    0.00    7.84     7  cinnamon
11:53:05 PM  1000      2263    4.90    2.94    0.00    0.00    7.84     9  firefox-bin
11:53:05 PM  1000      2570    0.98    0.00    0.00    0.00    0.98     4  Isolated Web Co
11:53:05 PM  1000      2839    0.00    0.98    0.00    0.00    0.98    15  Isolated Servic
11:53:05 PM  1000      2963    2.94    0.00    0.00    0.00    2.94     8  Isolated Web Co
11:53:05 PM  1000     49179    4.90    1.96    0.00    0.00    6.86     7  code
11:53:05 PM  1000     49237    8.82    0.98    0.00    0.00    9.80     6  code
11:53:05 PM  1000     49279    0.00    0.98    0.00    0.00    0.98     6  code
11:53:05 PM  1000     49758    2.94    0.00    0.00    0.00    2.94     5  Isolated Web Co
11:53:05 PM     0     56192    0.00    1.96    0.00    0.00    1.96    10  kworker/u32:4-gfx_low
11:53:05 PM  1000     57306    0.00    0.98    0.00    0.00    0.98    15  pidstat
11:53:05 PM  1000     57307  399.02    0.00    0.00    0.00  399.02     8  sysbench

11:53:04 PM   UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
11:53:05 PM     0      1242      0.00      0.00 1364496  159748   1.01  Xorg
11:53:05 PM  1000      1908      3.92      0.00 5279180  262100   1.66  cinnamon
11:53:05 PM  1000      2263     32.35      0.00 12393576  742836   4.71  firefox-bin
11:53:05 PM  1000      2402      0.98      0.00 2723484  245232   1.56  Privileged Cont
11:53:05 PM  1000      2839      9.80      0.00 2460080   78008   0.50  Isolated Servic
11:53:05 PM  1000      3003      1.96      0.00 2799980  313972   1.99  Isolated Web Co
11:53:05 PM  1000      4436      0.98      0.00 2485164  110680   0.70  Isolated Web Co
11:53:05 PM  1000      4536      0.98      0.00 2674512  196776   1.25  Isolated Web Co
11:53:05 PM  1000      4589      0.98      0.00 2907080  303180   1.92  Isolated Web Co
11:53:05 PM  1000      4626      0.98      0.00 2539960  136696   0.87  Isolated Web Co
11:53:05 PM  1000      4650      0.98      0.00 2570420  149848   0.95  Isolated Web Co
11:53:05 PM  1000      4764      0.98      0.00 2569004  146432   0.93  Isolated Web Co
11:53:05 PM  1000      5113      1.96      0.00 2581424  154144   0.98  Isolated Web Co
11:53:05 PM  1000      5546      0.98      0.00 2481332  107668   0.68  Isolated Web Co
11:53:05 PM  1000     35067      3.92      0.00 34291624   59576   0.38  chrome
11:53:05 PM  1000     35618      0.98      0.00 34035280   85752   0.54  chrome
11:53:05 PM  1000     49115     17.65      0.00 1461531824  191256   1.21  code
11:53:05 PM  1000     49179    302.94      0.00 34572976  178132   1.13  code
11:53:05 PM  1000     49237    341.18      0.00 1480184128  386196   2.45  code
11:53:05 PM  1000     49279    247.06      0.00 1461308524  115900   0.74  code
11:53:05 PM  1000     49295     21.57      0.00 1461300524  156164   0.99  code
11:53:05 PM  1000     49322      9.80      0.00 1461299592  113148   0.72  code
11:53:05 PM  1000     49323      0.98      0.00 1461316600  106864   0.68  code
11:53:05 PM  1000     49758     53.92      0.00 3265844  553852   3.52  Isolated Web Co
11:53:05 PM  1000     57306      2.94      0.00   17356    5632   0.04  pidstat

11:53:04 PM   UID       PID   cswch/s nvcswch/s  Command
11:53:05 PM     0        17    223.53      0.98  rcu_preempt
11:53:05 PM     0        18      2.94      0.00  migration/0
11:53:05 PM     0        23      1.96      0.00  migration/2
11:53:05 PM     0        29     12.75      0.00  migration/4
11:53:05 PM     0        35     27.45      0.00  migration/6
11:53:05 PM     0        41     13.73      0.00  migration/8
11:53:05 PM     0        47     43.14      0.00  migration/10
11:53:05 PM     0        53     10.78      0.00  migration/12
11:53:05 PM     0        54      0.98      0.00  ksoftirqd/12
11:53:05 PM     0        59      8.82      0.00  migration/14
11:53:05 PM     0        65      0.98      0.00  migration/1
11:53:05 PM     0        66      0.98      0.00  ksoftirqd/1
11:53:05 PM     0        71      0.98      0.00  migration/3
11:53:05 PM     0        77      2.94      0.00  migration/5
11:53:05 PM     0        83      7.84      0.00  migration/7
11:53:05 PM     0        89      2.94      0.00  migration/9
11:53:05 PM     0        95     20.59      0.00  migration/11
11:53:05 PM     0        96      0.98      0.00  ksoftirqd/11
11:53:05 PM     0       101      0.98      0.00  migration/13
11:53:05 PM     0       102      0.98      0.00  ksoftirqd/13
11:53:05 PM     0       107      0.98      0.00  migration/15
11:53:05 PM     0       119      1.96      0.00  kcompactd0
11:53:05 PM     0       153      2.94      0.00  kworker/11:1-mld
11:53:05 PM   110       774     31.37      0.00  avahi-daemon
11:53:05 PM     0       822      4.90      0.00  touchegg
11:53:05 PM     0       884     81.37      0.00  irq/84-rtw89_pci
11:53:05 PM     0       914     17.65      0.00  NetworkManager
11:53:05 PM     0      1242    717.65      8.82  Xorg
11:53:05 PM  1000      1501    190.20      5.88  pipewire-pulse
11:53:05 PM  1000      1752      0.98      0.00  csd-color
11:53:05 PM  1000      1908    364.71     13.73  cinnamon
11:53:05 PM  1000      2104      9.80      0.98  blueman-tray
11:53:05 PM  1000      2263     65.69      2.94  firefox-bin
11:53:05 PM  1000      2352      1.96      0.00  Socket Process
11:53:05 PM  1000      2402     69.61      2.94  Privileged Cont
11:53:05 PM  1000      2470     14.71      0.98  WebExtensions
11:53:05 PM  1000      2570      1.96      0.98  Isolated Web Co
11:53:05 PM  1000      2836      2.94      0.00  Isolated Web Co
11:53:05 PM  1000      2839     34.31      0.00  Isolated Servic
11:53:05 PM  1000      2963    150.00      5.88  Isolated Web Co
11:53:05 PM  1000      3003      2.94      0.00  Isolated Web Co
11:53:05 PM  1000      4259      0.98      0.00  Isolated Web Co
11:53:05 PM  1000      4311      0.98      0.00  Isolated Web Co
11:53:05 PM  1000      4436      0.98      0.00  Isolated Web Co
11:53:05 PM  1000      4439      0.98      0.00  Isolated Web Co
11:53:05 PM  1000      4446      0.98      0.00  Isolated Web Co
11:53:05 PM  1000      4536      3.92      0.00  Isolated Web Co
11:53:05 PM  1000      4589      1.96      0.00  Isolated Web Co
11:53:05 PM  1000      4605      0.98      0.00  Isolated Web Co
11:53:05 PM  1000      4626      0.98      0.00  Isolated Web Co
11:53:05 PM  1000      4637      0.98      0.00  Isolated Web Co
11:53:05 PM  1000      4650      3.92      1.96  Isolated Web Co
11:53:05 PM  1000      4764      3.92      0.00  Isolated Web Co
11:53:05 PM  1000      4803      0.98      0.00  Isolated Web Co
11:53:05 PM  1000      4809      0.98      0.00  Isolated Web Co
11:53:05 PM  1000      4869      0.98      0.00  Isolated Web Co
11:53:05 PM  1000      4904      0.98      0.00  Isolated Web Co
11:53:05 PM  1000      4907      0.98      0.00  Isolated Web Co
11:53:05 PM  1000      4914      0.98      0.00  Isolated Web Co
11:53:05 PM  1000      5011      0.98      0.00  Isolated Web Co
11:53:05 PM  1000      5014      0.98      0.00  Isolated Web Co
11:53:05 PM  1000      5113      3.92      0.00  Isolated Web Co
11:53:05 PM  1000      5165      0.98      0.00  Isolated Web Co
11:53:05 PM  1000      5180      0.98      0.00  Isolated Web Co
