Linux 6.8.0-51-generic (abhijeet-Vivobook) 	09/10/2025 	_x86_64_	(16 CPU)

11:53:10 PM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
11:53:11 PM     0        17    0.00    0.98    0.00    0.00    0.98     9  rcu_preempt
11:53:11 PM   991       747    0.98    0.00    0.00    0.00    0.98     0  systemd-resolve
11:53:11 PM     0      1242    1.96    0.98    0.00    0.00    2.94     9  Xorg
11:53:11 PM  1000      1501    0.00    0.98    0.00    0.00    0.98     6  pipewire-pulse
11:53:11 PM  1000      1908    3.92    0.98    0.00    0.00    4.90    15  cinnamon
11:53:11 PM  1000      2263    3.92    0.98    0.00    0.00    4.90     0  firefox-bin
11:53:11 PM  1000      2402    0.98    0.00    0.00    0.00    0.98    11  Privileged Cont
11:53:11 PM  1000      2839    0.98    0.00    0.00    0.00    0.98    14  Isolated Servic
11:53:11 PM  1000      2963    5.88    0.00    0.00    0.00    5.88    15  Isolated Web Co
11:53:11 PM     0     48072    0.00    0.98    0.00    0.00    0.98     9  kworker/u32:3-gfx_low
11:53:11 PM  1000     49179    3.92    0.98    0.00    0.00    4.90    15  code
11:53:11 PM  1000     49237    6.86    0.98    0.00    0.00    7.84    13  code
11:53:11 PM  1000     49279    0.00    0.98    0.00    0.00    0.98     6  code
11:53:11 PM  1000     49758    8.82    0.98    0.00    0.00    9.80    13  Isolated Web Co
11:53:11 PM  1000     57358    0.98    0.98    0.00    0.00    1.96     5  pidstat
11:53:11 PM  1000     57359  801.96    0.00    0.00    0.00  801.96    12  sysbench

11:53:10 PM   UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
11:53:11 PM     0      1242      0.98      0.00 1364500  159748   1.01  Xorg
11:53:11 PM  1000      2263     27.45      0.00 12393576  743256   4.72  firefox-bin
11:53:11 PM  1000      2839      7.84      0.00 2460080   78008   0.50  Isolated Servic
11:53:11 PM  1000      2963    672.55      0.00 11699792  771256   4.90  Isolated Web Co
11:53:11 PM  1000      3003      1.96      0.00 2799980  313972   1.99  Isolated Web Co
11:53:11 PM  1000      4259      0.00      0.00 2779280  199140   1.26  Isolated Web Co
11:53:11 PM  1000      4589     70.59      0.00 2907064  303272   1.92  Isolated Web Co
11:53:11 PM  1000      4764      0.98      0.00 2569004  146432   0.93  Isolated Web Co
11:53:11 PM  1000      4907      0.00      0.00 2503844  122936   0.78  Isolated Web Co
11:53:11 PM  1000      4914      0.98      0.00 2523004  139284   0.88  Isolated Web Co
11:53:11 PM  1000      5014     11.76      0.00 2520504  129596   0.82  Isolated Web Co
11:53:11 PM  1000      5113      2.94      0.00 2581424  154144   0.98  Isolated Web Co
11:53:11 PM  1000      5469      0.98      0.00 2549176  142920   0.91  Isolated Web Co
11:53:11 PM  1000     35050     88.24      0.00 34734236  274280   1.74  chrome
11:53:11 PM  1000     35051     13.73      0.00 34064912  131360   0.83  chrome
11:53:11 PM  1000     49115     10.78      0.00 1461531824  191128   1.21  code
11:53:11 PM  1000     49179    273.53      0.00 34572980  178060   1.13  code
11:53:11 PM  1000     49237    356.86      0.00 1480184128  387440   2.46  code
11:53:11 PM  1000     49279    357.84      0.00 1461308524  115900   0.74  code
11:53:11 PM  1000     49295      0.98      0.00 1461300524  156164   0.99  code
11:53:11 PM  1000     49322     18.63      0.00 1461299592  113148   0.72  code
11:53:11 PM  1000     49323      2.94      0.00 1461316600  106864   0.68  code
11:53:11 PM  1000     49758     31.37      0.00 3265844  554784   3.52  Isolated Web Co
11:53:11 PM  1000     57358      2.94      0.00   17356    5632   0.04  pidstat

11:53:10 PM   UID       PID   cswch/s nvcswch/s  Command
11:53:11 PM     0        17    244.12      0.00  rcu_preempt
11:53:11 PM     0        29      0.98      0.00  migration/4
11:53:11 PM     0        30      1.96      0.00  ksoftirqd/4
11:53:11 PM     0        35      1.96      0.00  migration/6
11:53:11 PM     0        36      0.98      0.00  ksoftirqd/6
11:53:11 PM     0        41      4.90      0.00  migration/8
11:53:11 PM     0        42      0.98      0.00  ksoftirqd/8
11:53:11 PM     0        47      2.94      0.00  migration/10
11:53:11 PM     0        59      2.94      0.00  migration/14
11:53:11 PM     0        66      2.94      0.00  ksoftirqd/1
11:53:11 PM     0        72      0.98      0.00  ksoftirqd/3
11:53:11 PM     0        77      0.98      0.00  migration/5
11:53:11 PM     0        95      0.98      0.00  migration/11
11:53:11 PM     0       108      0.98      0.00  ksoftirqd/15
11:53:11 PM     0       119      1.96      0.00  kcompactd0
11:53:11 PM     0       150      0.98      0.00  kworker/7:1-mm_percpu_wq
11:53:11 PM     0       153      2.94      0.00  kworker/11:1-events
11:53:11 PM     0       251      1.96      0.00  kworker/4:1H-kblockd
11:53:11 PM     0       367      2.94      0.00  jbd2/nvme0n1p7-8
11:53:11 PM   122       742      0.98      0.00  rpcbind
11:53:11 PM   991       747      4.90      0.00  systemd-resolve
11:53:11 PM   110       774     10.78      0.00  avahi-daemon
11:53:11 PM     0       783      0.98      0.00  irqbalance
11:53:11 PM     0       822      6.86      0.00  touchegg
11:53:11 PM     0       884    101.96      0.00  irq/84-rtw89_pci
11:53:11 PM     0       914     29.41      0.00  NetworkManager
11:53:11 PM     0      1242    729.41      2.94  Xorg
11:53:11 PM  1000      1501    190.20      0.00  pipewire-pulse
11:53:11 PM  1000      1908    361.76      2.94  cinnamon
11:53:11 PM  1000      2104     10.78      0.00  blueman-tray
11:53:11 PM  1000      2263     69.61      0.00  firefox-bin
11:53:11 PM  1000      2352      0.98      0.00  Socket Process
11:53:11 PM  1000      2402     70.59      1.96  Privileged Cont
11:53:11 PM  1000      2470      7.84      0.00  WebExtensions
11:53:11 PM  1000      2570      0.98      0.00  Isolated Web Co
11:53:11 PM  1000      2836      2.94      0.00  Isolated Web Co
11:53:11 PM  1000      2839     29.41      0.00  Isolated Servic
11:53:11 PM  1000      2963    157.84      8.82  Isolated Web Co
11:53:11 PM  1000      3003      2.94      0.00  Isolated Web Co
11:53:11 PM  1000      4259      6.86      0.00  Isolated Web Co
11:53:11 PM  1000      4311      0.98      0.00  Isolated Web Co
11:53:11 PM  1000      4436      0.98      0.00  Isolated Web Co
11:53:11 PM  1000      4439      0.98      0.00  Isolated Web Co
11:53:11 PM  1000      4446      0.98      0.00  Isolated Web Co
11:53:11 PM  1000      4536      1.96      0.00  Isolated Web Co
11:53:11 PM  1000      4589      4.90      0.00  Isolated Web Co
11:53:11 PM  1000      4605      0.98      0.00  Isolated Web Co
11:53:11 PM  1000      4626      0.98      0.00  Isolated Web Co
11:53:11 PM  1000      4637      0.98      0.00  Isolated Web Co
11:53:11 PM  1000      4650      0.98      0.00  Isolated Web Co
11:53:11 PM  1000      4764      4.90      0.00  Isolated Web Co
11:53:11 PM  1000      4803      0.98      0.00  Isolated Web Co
11:53:11 PM  1000      4809      0.98      0.00  Isolated Web Co
11:53:11 PM  1000      4869      0.98      0.00  Isolated Web Co
11:53:11 PM  1000      4904      0.98      0.00  Isolated Web Co
11:53:11 PM  1000      4907      3.92      0.00  Isolated Web Co
11:53:11 PM  1000      4914      0.98      0.00  Isolated Web Co
11:53:11 PM  1000      5011      0.98      0.00  Isolated Web Co
11:53:11 PM  1000      5014      0.98      0.00  Isolated Web Co
