procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 4  0      0 4248332 272948 3492784    0    0    68  1814 7983    8  4  2 94  0  0  0
 2  0      0 4246120 272948 3492404    0    0     0     0 6447 6882  8  1 91  0  0  0
 2  0      0 4236456 272948 3490176    0    0     0     0 6926 6187  8  2 91  0  0  0
 2  1      0 4235344 272948 3490196    0    0     0   248 5862 6072  8  2 91  0  0  0
 3  0      0 4234904 272948 3490204    0    0     0   276 5738 5992  8  1 91  0  0  0
 2  0      0 4240324 272948 3490216    0    0     0     0 7713 6136 11  5 84  0  0  0
 3  0      0 4241288 272948 3490224    0    0     0   280 6898 6605 10  3 88  0  0  0
 1  0      0 4243340 272948 3490236    0    0     0   272 5741 5745  8  1 91  0  0  0
 1  0      0 4244292 272948 3490244    0    0     0     0 5216 5906  7  1 92  0  0  0
 1  0      0 4244420 272964 3488808    0    0     0   244 5280 5877  7  1 91  0  0  0
