procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 4  0      0 4133204 273128 3495156    0    0    68  1810 7995    8  4  2 94  0  0  0
 3  0      0 3425468 273264 4163948    0    0     0 648756 26568 35280  9  8 82  1  0  0
 3  0      0 2725828 273404 4837676    0    0     0 652876 30816 56874  7  8 84  1  0  0
 3  0      0 2172428 273568 5492368    0    0     0 636436 38057 56020 11  9 79  1  0  0
 0  1      0 2014508 273704 5643456    0    0     0 188828 28141 48725  8  4 84  4  0  0
 4  1      0 2015904 273844 5641244    0    0     0 26532 26525 39801 14  5 78  3  0  0
 4  0      0 2018704 273968 5641260    0    0     0 26288 21866 35307  6  4 86  3  0  0
 3  1      0 2028540 274108 5641288    0    0     0 26072 19966 31074 11  4 82  3  0  0
 2  1      0 2052484 274192 5641296    0    0     0 25848 20438 33026  8  4 85  4  0  0
 1  1      0 2038340 274316 5641316    0    0     0 26180 20168 32080 11  4 81  3  0  0
 2  1      0 1966876 274428 5641332    0    0     0 25988 16822 27365 14  3 79  4  0  0
 1  1      0 1932992 274512 5641344    0    0     0 26428 18008 28152 15  3 78  4  0  0
 3  1      0 1898328 274624 5641360    0    0     0 26544 21678 33618 10  4 82  4  0  0
 3  0      0 1853764 274756 5641376    0    0     0 26684 20750 32862  9  5 82  4  0  0
