procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 4  0      0 4250220 273020 3489212    0    0    68  1812 7990    8  4  2 94  0  0  0
 2  0      0 4243972 273020 3491508    0    0     0     0 14587 14360 11  2 87  0  0  0
 1  0      0 4235024 273020 3491520    0    0     0     0 9335 10886  8  2 90  0  0  0
 1  0      0 4238064 273032 3489356    0    0     0   236 6816 7727  8  1 91  0  0  0
 2  0      0 4234304 273032 3489372    0    0     0   916 6446 7744  8  1 91  0  0  0
 2  0      0 4234492 273032 3489380    0    0     0    56 6692 7716  8  1 92  0  0  0
 1  0      0 4239172 273032 3489392    0    0     0     0 6254 7586  7  1 92  0  0  0
 1  0      0 4238780 273032 3489408    0    0     0     0 6722 7731  8  1 91  0  0  0
 1  1      0 4238548 273032 3489416    0    0     0   108 5875 6849  7  1 92  0  0  0
 4  0      0 4237628 273032 3489424    0    0     0  1160 5948 6885  7  1 92  0  0  0
