pid,name,status,cpu_percent,memory_percent,memory_mb,num_threads,nice,process_age,priority_class,user_time,system_time,total_cpu_time,io_intensity,read_bytes,write_bytes,total_io_bytes,io_operations,io_wait_ratio,voluntary_switches,involuntary_switches,total_ctx_switches,ctx_switch_rate,avg_cpu_burst,std_cpu_burst,min_cpu_burst,max_cpu_burst,burst_time_estimate,current_wait_time,total_wait_time,response_ratio,is_interactive,is_cpu_bound,is_io_bound,num_open_files,num_connections,num_ready_processes,collection_timestamp,system_cpu_percent,system_memory_percent,system_memory_available_mb,system_load_1min,system_load_5min,system_load_15min,timestamp
0,System Idle Process,running,0.0,4.85005803094434e-05,0.0078125,48,0,1759942360.0556135,3,0.0,7312799.671874999,7312799.671874999,0.0,0,0,0,0,0.0,1290979726,0,1290979726,0,0,0,0,0,0,0,0,1.0,0,0,0,0,19,341,1759942360.0686495,34.3,80.0,3221.23828125,0.0,0.0,0.0,1759942359.9449153
4,System,running,0.0,0.039212719180184985,6.31640625,460,0,1759942363.4834583,3,0.0,68449.328125,68449.328125,15.126454054045059,139980976,26481706323,26621687299,964718,0.013898022862155985,459220275,0,459220275,0,0,0,0,0,0,0,0,1.0,0,0,0,0,11,340,1759942363.4946215,34.3,80.0,3221.23828125,0.0,0.0,0.0,1759942359.9449153
236,,stopped,0.0,0.3988687724648625,64.25,0,0,1688045.383550644,3,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,341,1759942366.9963837,34.3,80.0,3221.23828125,0.0,0.0,0.0,1759942359.9449153
280,Registry,running,0.0,0.35184745985485716,56.67578125,4,0,1688048.6513302326,1,0.0,29.953125,29.953125,1270.4853158763872,54444032,2090196992,2144641024,211026,0.8757024078330437,289594,0,289594,0,0,0,0,0,0,0,0,1.0,1,0,1,0,0,340,1759942370.2802289,34.3,80.0,3221.23828125,0.0,0.0,0.0,1759942359.9449153
844,smss.exe,running,0.0,0.004001297875529081,0.64453125,2,0,1688049.9386584759,3,0.046875,0.3125,0.359375,2.2927224552821834,2796914,1073316,3870230,40,0.10015649452269171,875,0,875,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,338,1759942373.4902384,34.3,80.0,3221.23828125,0.0,0.0,0.0,1759942359.9449153
1248,csrss.exe,running,0.0,0.01920622980253959,3.09375,16,0,1688043.6596138477,3,13.453125,79.859375,93.3125,0.70930511375156,1197338,0,1197338,1516,0.01598675503672419,1728452,0,1728452,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,338,1759942376.6261044,34.3,80.0,3221.23828125,0.0,0.0,0.0,1759942359.9449153
1360,wininit.exe,running,0.0,0.013701413937417762,2.20703125,2,0,1688044.9512774944,3,1.59375,1.5,3.09375,0.014561223610424662,24580,0,24580,2,0.0006460469999192441,456,0,456,0,0,0,0,0,0,0,0,1.0,0,0,0,0,2,338,1759942379.762641,34.3,80.0,3221.23828125,0.0,0.0,0.0,1759942359.9449153
1436,services.exe,running,0.0,0.06096522944897036,9.8203125,9,0,1688047.7637190819,3,413.46875,540.140625,953.609375,0.6506545748327419,1003700,94636,1098336,241,0.0002526601721994396,165804,0,165804,0,0,0,0,0,0,0,0,1.0,0,0,0,0,2,338,1759942382.8359993,34.3,80.0,3221.23828125,0.0,0.0,0.0,1759942359.9449153
1456,LsaIso.exe,running,0.0,0.0067658309531673545,1.08984375,1,0,1688050.8812849522,3,0.71875,1.3125,2.03125,0.0,0,0,0,0,0.0,63,0,63,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,338,1759942385.984273,34.3,80.0,3221.23828125,0.0,0.0,0.0,1759942359.9449153
1464,lsass.exe,running,0.0,0.12898729333296474,20.77734375,11,0,1688054.0035619736,3,755.265625,829.0625,1584.328125,125.20149625191823,189876185,21470702,211346887,258862,0.14044237568818355,532271,0,532271,0,0,0,0,0,0,0,0,1.0,0,0,0,0,2,338,1759942389.1107705,34.3,80.0,3221.23828125,0.0,0.0,0.0,1759942359.9449153
1536,svchost.exe,running,0.0,0.01037912418622089,1.671875,1,0,1688022.775270462,3,0.40625,0.5,0.90625,0.0,0,0,0,0,0.0,31,0,31,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,338,1759942392.276807,34.3,80.0,3221.23828125,0.0,0.0,0.0,1759942359.9449153
1672,svchost.exe,running,0.0,0.272743013370155,43.93359375,21,0,1688060.1216125488,3,484.03125,558.9375,1042.96875,177.10269093639465,293536886,5423104,298959990,8646,0.008221642003404764,500719,0,500719,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,338,1759942395.4284258,34.3,80.0,3221.23828125,0.0,0.0,0.0,1759942359.9449153
1708,fontdrvhost.exe,running,0.0,0.005650317606050156,0.91015625,5,0,1688063.2306764126,3,0.09375,0.09375,0.1875,0.0,0,0,0,0,0.0,8067,0,8067,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,338,1759942398.5513458,34.3,80.0,3221.23828125,0.0,0.0,0.0,1759942359.9449153
