Workload,Threads,EventsPerSec,AvgLatency_ms,95thLatency_ms,CPU_%,Mem_MB,CSwitch/s,IOWait_%
cpu,1,1771.82,0.56,0.64,9.83111,4287.02,5771.64,1.25667
cpu,2,9154.39,0.22,0.22,14.35,4276.41,5800.36,0.536667
cpu,4,17072.02,0.23,0.26,26.8033,4269.3,5597.18,0.765556
cpu,8,27327.54,0.29,0.31,53.1978,4287.16,7836.36,0.745556
cpu,16,29004.32,0.55,0.57,100,4301.24,6426.5,0.501111
memory,1,68306357,0.00,0.00,7.64,4302.9,6270.8,0.556667
memory,2,104857600,0.00,0.00,13.9375,4294.7,6307.7,0.60125
memory,4,104857600,0.00,0.00,26.615,4292.15,6535.83,0.6575
memory,8,104857600,0.00,0.00,52.3583,4297.11,6275.25,0.54
memory,16,104857600,0.00,0.00,99.9267,4288.38,6345.38,1.185
fileio,1,8780.57,0.11,0.52,12.8815,2476.14,28500.7,4.54154
fileio,2,12759.50,0.16,0.53,14.2953,2403.08,31617.3,5.30933
fileio,4,15371.82,0.26,0.89,21.7127,2441.82,38461.6,6.65333
fileio,8,17562.47,0.45,1.58,32.4294,2446.36,43162.7,7.64062
fileio,16,19064.45,0.83,2.71,48.1831,2522.86,43684.3,7.42813
cpu,1,1796.44,0.56,0.64,9.98222,4142.07,5541,1.74333
cpu,2,9190.98,0.22,0.23,15.11,4149.01,7310.2,0.956667
cpu,4,17176.08,0.23,0.25,27.0722,4150.8,7288.55,0.51
cpu,8,27747.99,0.29,0.31,52.6878,4152.23,6644.6,0.642222
cpu,16,28951.33,0.55,0.59,100,4143.78,8174.91,0.72
memory,1,67437482,0.00,0.00,8.53222,4139.67,7749.2,0.561111
memory,2,103984958,0.00,0.00,15.2056,4129.84,7915.2,0.975556
memory,4,104857600,0.00,0.00,27.76,4128.38,8670.5,0.895
memory,8,104857600,0.00,0.00,51.72,4129.55,7514.25,0.51
memory,16,104857600,0.00,0.00,100,4087.34,10429.2,1.08167
fileio,1,8802.03,0.11,0.53,18.2667,2251.49,35013.7,4.52
fileio,2,14256.50,0.14,0.48,19.8658,1941.33,43911.4,4.23667
fileio,4,16215.16,0.25,0.86,26.2908,2086.73,47722.8,5.49615
fileio,8,17726.08,0.45,1.55,33.4753,2350.75,46437.8,7.674
fileio,16,18990.71,0.84,2.71,51.608,2379.73,46590.5,7.85467
